flavor	drug	concentration	run	tech_repl	hit	category	result	expected	n	n_total	fraction	n_repl
absolute	Acarbose	20	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	14	16	0.875	6
absolute	Acarbose	20	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	16	0.125	6
absolute	Acarbose	20	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	5	0.2	6
absolute	Acarbose	20	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	5	0.8	6
absolute	Acarbose	20	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	13	16	0.8125	6
absolute	Acarbose	20	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	16	0.1875	6
absolute	Acarbose	20	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	5	0.2	6
absolute	Acarbose	20	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	5	0.8	6
absolute	Acarbose	20	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	14	16	0.875	6
absolute	Acarbose	20	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	16	0.125	6
absolute	Acarbose	20	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	5	0.2	6
absolute	Acarbose	20	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	5	0.8	6
absolute	Acarbose	20	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	12	16	0.75	6
absolute	Acarbose	20	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	16	0.25	6
absolute	Acarbose	20	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	2	5	0.4	6
absolute	Acarbose	20	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	3	5	0.6	6
absolute	Acarbose	20	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	12	16	0.75	6
absolute	Acarbose	20	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	16	0.25	6
absolute	Acarbose	20	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	2	5	0.4	6
absolute	Acarbose	20	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	3	5	0.6	6
absolute	Acarbose	80	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	12	14	0.8571428571428571	6
absolute	Acarbose	80	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	14	0.14285714285714285	6
absolute	Acarbose	80	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	3	7	0.42857142857142855	6
absolute	Acarbose	80	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	7	0.5714285714285714	6
absolute	Acarbose	80	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	12	14	0.8571428571428571	6
absolute	Acarbose	80	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	14	0.14285714285714285	6
absolute	Acarbose	80	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	2	7	0.2857142857142857	6
absolute	Acarbose	80	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	5	7	0.7142857142857143	6
absolute	Acarbose	80	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	11	14	0.7857142857142857	6
absolute	Acarbose	80	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	14	0.21428571428571427	6
absolute	Acarbose	80	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	2	7	0.2857142857142857	6
absolute	Acarbose	80	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	5	7	0.7142857142857143	6
absolute	Acarbose	80	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	11	14	0.7857142857142857	6
absolute	Acarbose	80	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	14	0.21428571428571427	6
absolute	Acarbose	80	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	3	7	0.42857142857142855	6
absolute	Acarbose	80	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	7	0.5714285714285714	6
absolute	Acarbose	80	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	10	14	0.7142857142857143	6
absolute	Acarbose	80	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	14	0.2857142857142857	6
absolute	Acarbose	80	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	7	0.5714285714285714	6
absolute	Acarbose	80	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	3	7	0.42857142857142855	6
absolute	Acarbose	80	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	11	14	0.7857142857142857	6
absolute	Acarbose	80	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	14	0.21428571428571427	6
absolute	Acarbose	80	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	7	0.5714285714285714	6
absolute	Acarbose	80	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	3	7	0.42857142857142855	6
absolute	Amlodipine	20	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	20	1	6
absolute	Amlodipine	20	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	1	1	6
absolute	Amlodipine	20	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	20	1	6
absolute	Amlodipine	20	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Amlodipine	20	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	20	1	6
absolute	Amlodipine	20	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Amlodipine	20	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	20	1	6
absolute	Amlodipine	20	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Amlodipine	20	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	20	1	6
absolute	Amlodipine	20	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Amlodipine	20	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	20	1	6
absolute	Amlodipine	20	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Amlodipine	80	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	6	6	1	6
absolute	Amlodipine	80	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	15	0.26666666666666666	6
absolute	Amlodipine	80	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	11	15	0.7333333333333333	6
absolute	Amlodipine	80	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	6	6	1	6
absolute	Amlodipine	80	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	15	0.26666666666666666	6
absolute	Amlodipine	80	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	11	15	0.7333333333333333	6
absolute	Amlodipine	80	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	6	6	1	6
absolute	Amlodipine	80	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	6	15	0.4	6
absolute	Amlodipine	80	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	9	15	0.6	6
absolute	Amlodipine	80	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	6	6	1	6
absolute	Amlodipine	80	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	5	15	0.3333333333333333	6
absolute	Amlodipine	80	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	10	15	0.6666666666666666	6
absolute	Amlodipine	80	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	6	6	1	6
absolute	Amlodipine	80	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	15	0.26666666666666666	6
absolute	Amlodipine	80	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	11	15	0.7333333333333333	6
absolute	Amlodipine	80	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	6	6	1	6
absolute	Amlodipine	80	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	3	15	0.2	6
absolute	Amlodipine	80	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	15	0.8	6
absolute	Amlodipine	160	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	3	1	6
absolute	Amlodipine	160	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	13	18	0.7222222222222222	6
absolute	Amlodipine	160	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	5	18	0.2777777777777778	6
absolute	Amlodipine	160	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	3	1	6
absolute	Amlodipine	160	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	14	18	0.7777777777777778	6
absolute	Amlodipine	160	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	18	0.2222222222222222	6
absolute	Amlodipine	160	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	3	1	6
absolute	Amlodipine	160	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	11	18	0.6111111111111112	6
absolute	Amlodipine	160	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	7	18	0.3888888888888889	6
absolute	Amlodipine	160	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	3	1	6
absolute	Amlodipine	160	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	14	18	0.7777777777777778	6
absolute	Amlodipine	160	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	18	0.2222222222222222	6
absolute	Amlodipine	160	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	3	1	6
absolute	Amlodipine	160	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	14	18	0.7777777777777778	6
absolute	Amlodipine	160	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	18	0.2222222222222222	6
absolute	Amlodipine	160	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	3	1	6
absolute	Amlodipine	160	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	14	18	0.7777777777777778	6
absolute	Amlodipine	160	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	4	18	0.2222222222222222	6
absolute	Aprepitant	5	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	17	20	0.85	6
absolute	Aprepitant	5	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	20	0.15	6
absolute	Aprepitant	5	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	1	1	1	6
absolute	Aprepitant	5	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	15	20	0.75	6
absolute	Aprepitant	5	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	5	20	0.25	6
absolute	Aprepitant	5	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	1	1	6
absolute	Aprepitant	5	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	17	20	0.85	6
absolute	Aprepitant	5	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	20	0.15	6
absolute	Aprepitant	5	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	1	1	6
absolute	Aprepitant	5	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	15	20	0.75	6
absolute	Aprepitant	5	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	5	20	0.25	6
absolute	Aprepitant	5	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	1	1	6
absolute	Aprepitant	5	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	11	20	0.55	6
absolute	Aprepitant	5	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	9	20	0.45	6
absolute	Aprepitant	5	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	1	1	6
absolute	Aprepitant	5	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	11	20	0.55	6
absolute	Aprepitant	5	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	9	20	0.45	6
absolute	Aprepitant	5	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	1	1	1	6
absolute	Aprepitant	20	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	9	11	0.8181818181818182	6
absolute	Aprepitant	20	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	11	0.18181818181818182	6
absolute	Aprepitant	20	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	10	0.4	6
absolute	Aprepitant	20	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	6	10	0.6	6
absolute	Aprepitant	20	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	10	11	0.9090909090909091	6
absolute	Aprepitant	20	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	11	0.09090909090909091	6
absolute	Aprepitant	20	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	10	0.4	6
absolute	Aprepitant	20	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	6	10	0.6	6
absolute	Aprepitant	20	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	11	11	1	6
absolute	Aprepitant	20	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	2	10	0.2	6
absolute	Aprepitant	20	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	8	10	0.8	6
absolute	Aprepitant	20	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	10	11	0.9090909090909091	6
absolute	Aprepitant	20	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	11	0.09090909090909091	6
absolute	Aprepitant	20	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	10	0.4	6
absolute	Aprepitant	20	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	6	10	0.6	6
absolute	Aprepitant	20	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	7	11	0.6363636363636364	6
absolute	Aprepitant	20	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	11	0.36363636363636365	6
absolute	Aprepitant	20	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	10	0.4	6
absolute	Aprepitant	20	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	6	10	0.6	6
absolute	Aprepitant	20	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	8	11	0.7272727272727273	6
absolute	Aprepitant	20	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	11	0.2727272727272727	6
absolute	Aprepitant	20	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	10	0.4	6
absolute	Aprepitant	20	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	6	10	0.6	6
absolute	Aprepitant	30	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	4	0.75	6
absolute	Aprepitant	30	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	4	0.25	6
absolute	Aprepitant	30	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	5	17	0.29411764705882354	6
absolute	Aprepitant	30	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	17	0.7058823529411765	6
absolute	Aprepitant	30	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	4	0.75	6
absolute	Aprepitant	30	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	4	0.25	6
absolute	Aprepitant	30	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	5	17	0.29411764705882354	6
absolute	Aprepitant	30	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	17	0.7058823529411765	6
absolute	Aprepitant	30	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	4	0.75	6
absolute	Aprepitant	30	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	4	0.25	6
absolute	Aprepitant	30	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	5	17	0.29411764705882354	6
absolute	Aprepitant	30	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	17	0.7058823529411765	6
absolute	Aprepitant	30	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	4	4	1	6
absolute	Aprepitant	30	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	5	17	0.29411764705882354	6
absolute	Aprepitant	30	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	17	0.7058823529411765	6
absolute	Aprepitant	30	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	4	0.75	6
absolute	Aprepitant	30	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	4	0.25	6
absolute	Aprepitant	30	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	6	17	0.35294117647058826	6
absolute	Aprepitant	30	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	11	17	0.6470588235294118	6
absolute	Aprepitant	30	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	4	0.75	6
absolute	Aprepitant	30	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	4	0.25	6
absolute	Aprepitant	30	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	5	17	0.29411764705882354	6
absolute	Aprepitant	30	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	17	0.7058823529411765	6
absolute	Aripiprazole	5	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	21	0.9523809523809523	6
absolute	Aripiprazole	5	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	21	0.047619047619047616	6
absolute	Aripiprazole	5	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	21	0.9523809523809523	6
absolute	Aripiprazole	5	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	21	0.047619047619047616	6
absolute	Aripiprazole	5	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	21	0.9523809523809523	6
absolute	Aripiprazole	5	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	21	0.047619047619047616	6
absolute	Aripiprazole	5	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	21	21	1	6
absolute	Aripiprazole	5	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	21	0.9523809523809523	6
absolute	Aripiprazole	5	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	21	0.047619047619047616	6
absolute	Aripiprazole	5	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	18	21	0.8571428571428571	6
absolute	Aripiprazole	5	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	21	0.14285714285714285	6
absolute	Aripiprazole	20	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	21	0.9523809523809523	6
absolute	Aripiprazole	20	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	21	0.047619047619047616	6
absolute	Aripiprazole	20	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	17	21	0.8095238095238095	6
absolute	Aripiprazole	20	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	21	0.19047619047619047	6
absolute	Aripiprazole	20	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	21	21	1	6
absolute	Aripiprazole	20	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	20	21	0.9523809523809523	6
absolute	Aripiprazole	20	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	21	0.047619047619047616	6
absolute	Aripiprazole	20	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	19	21	0.9047619047619048	6
absolute	Aripiprazole	20	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	21	0.09523809523809523	6
absolute	Aripiprazole	20	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	18	21	0.8571428571428571	6
absolute	Aripiprazole	20	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	21	0.14285714285714285	6
absolute	Aripiprazole	80	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	3	3	1	6
absolute	Aripiprazole	80	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	18	18	1	6
absolute	Aripiprazole	80	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	2	3	0.6666666666666666	6
absolute	Aripiprazole	80	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	3	0.3333333333333333	6
absolute	Aripiprazole	80	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	4	18	0.2222222222222222	6
