species	import_date	sample_id	plate_number	count	run	biol_repl	tech_repl	drug	concentration	control	NT_code	rare_species	rel_abundance	rel_to_standard_abundance	AUC	maxOD	finalOD	absolute_abundance
Prevotella copri	11042019	E12LM1847	2	1	LM1847	1	2	Niclosamide	20	FALSE	NT5019	TRUE	5.439216752787599e-5	9.99000999000999e-4	0.8924257464392866	1.029296875	1.029296875	5.598568806091923e-5
Roseburia intestinalis	11042019	E12LM1847	2	291	LM1847	1	2	Niclosamide	20	FALSE	NT5011	FALSE	0.01582812075061191	0.2907092907092907	0.8924257464392866	1.029296875	1.029296875	0.016291835225727493
Ruminococcus bromii	11042019	E12LM1847	2	0	LM1847	1	2	Niclosamide	20	FALSE	NT5045	TRUE	0	0	0.8924257464392866	1.029296875	1.029296875	0
Ruminococcus gnavus	11042019	E12LM1847	2	465	LM1847	1	2	Niclosamide	20	FALSE	NT5046	FALSE	0.025292357900462335	0.4645354645354645	0.8924257464392866	1.029296875	1.029296875	0.02603334494832744
Ruminococcus torques	11042019	E12LM1847	2	0	LM1847	1	2	Niclosamide	20	FALSE	NT5047	TRUE	0	0	0.8924257464392866	1.029296875	1.029296875	0
Streptococcus parasanguinis	11042019	E12LM1847	2	13	LM1847	1	2	Niclosamide	20	FALSE	NT5072	FALSE	7.070981778623878e-4	0.012987012987012986	0.8924257464392866	1.029296875	1.029296875	7.278139447919499e-4
Streptococcus salivarius	11042019	E12LM1847	2	4	LM1847	1	2	Niclosamide	20	FALSE	NT5038	FALSE	2.1756867011150395e-4	0.003996003996003996	0.8924257464392866	1.029296875	1.029296875	2.2394275224367691e-4
Veillonella parvula	11042019	E12LM1847	2	1001	LM1847	1	2	Niclosamide	20	FALSE	NT5017	FALSE	0.054446559695403865	1	0.8924257464392866	1.029296875	1.029296875	0.05604167374898015
Akkermansia muciniphila	11042019	G9LM1847	2	2	LM1847	1	2	Mecillinam	0.5	FALSE	NT5021	TRUE	5.785865131483785e-5	0.002190580503833516	1.0502682385482771	1.1513671875	1.1142578125	6.446945424827148e-5
Bacteroides fragilis	11042019	G9LM1847	2	564	LM1847	1	2	Mecillinam	0.5	FALSE	NT5003	FALSE	0.016316139670784276	0.6177437020810516	1.0502682385482771	1.1513671875	1.1142578125	0.018180386098012556
Bacteroides thetaiotaomicron	11042019	G9LM1847	2	2245	LM1847	1	2	Mecillinam	0.5	FALSE	NT5004	FALSE	0.06494633610090549	2.4589266155531218	1.0502682385482771	1.1513671875	1.1142578125	0.07236696239368473
Bacteroides uniformis	11042019	G9LM1847	2	760	LM1847	1	2	Mecillinam	0.5	FALSE	NT5002	FALSE	0.021986287499638383	0.8324205914567361	1.0502682385482771	1.1513671875	1.1142578125	0.02449839261434316
Bifidobacterium adolescentis	11042019	G9LM1847	2	4	LM1847	1	2	Mecillinam	0.5	FALSE	NT5022	TRUE	1.157173026296757e-4	0.004381161007667032	1.0502682385482771	1.1513671875	1.1142578125	1.2893890849654296e-4
Bifidobacterium longum subsp. longum	11042019	G9LM1847	2	0	LM1847	1	2	Mecillinam	0.5	FALSE	NT5028	TRUE	0	0	1.0502682385482771	1.1513671875	1.1142578125	0
Bilophila wadsworthia	11042019	G9LM1847	2	22	LM1847	1	2	Mecillinam	0.5	FALSE	NT5036	TRUE	6.364451644632164e-4	0.024096385542168676	1.0502682385482771	1.1513671875	1.1142578125	7.091639967309862e-4
Blautia obeum	11042019	G9LM1847	2	1	LM1847	1	2	Mecillinam	0.5	FALSE	NT5069	TRUE	2.8929325657418926e-5	0.001095290251916758	1.0502682385482771	1.1513671875	1.1142578125	3.223472712413574e-5
Clostridium perfringens	11042019	G9LM1847	2	12650	LM1847	1	2	Mecillinam	0.5	FALSE	NT5032	FALSE	0.3659559695663494	13.855421686746988	1.0502682385482771	1.1513671875	1.1142578125	0.40776929812031704
Collinsella aerofaciens	11042019	G9LM1847	2	72	LM1847	1	2	Mecillinam	0.5	FALSE	NT5073	FALSE	0.0020829114473341626	0.07886089813800658	1.0502682385482771	1.1513671875	1.1142578125	0.002320900352937773
Coprococcus comes	11042019	G9LM1847	2	652	LM1847	1	2	Mecillinam	0.5	FALSE	NT5048	FALSE	0.01886192032863714	0.7141292442497262	1.0502682385482771	1.1513671875	1.1142578125	0.0210170420849365
Dorea formicigenerans	11042019	G9LM1847	2	782	LM1847	1	2	Mecillinam	0.5	FALSE	NT5076	FALSE	0.0226227326641016	0.8565169769989047	1.0502682385482771	1.1513671875	1.1142578125	0.025207556611074145
Eggerthella lenta	11042019	G9LM1847	2	290	LM1847	1	2	Mecillinam	0.5	FALSE	NT5024	FALSE	0.008389504440651488	0.3176341730558598	1.0502682385482771	1.1513671875	1.1142578125	0.009348070865999364
Escherichia coli ED1a	11042019	G9LM1847	2	126	LM1847	1	2	Mecillinam	0.5	FALSE	NT5078	FALSE	0.0036450950328347845	0.13800657174151149	1.0502682385482771	1.1513671875	1.1142578125	0.004061575617641103
Eubacterium rectale	11042019	G9LM1847	2	56	LM1847	1	2	Mecillinam	0.5	FALSE	NT5009	FALSE	0.0016200422368154597	0.061336254107338443	1.0502682385482771	1.1513671875	1.1142578125	0.0018051447189516012
Fusobacterium nucleatum subsp. nucleatum	11042019	G9LM1847	2	5766	LM1847	1	2	Mecillinam	0.5	FALSE	NT5025	FALSE	0.16680649174067752	6.315443592552026	1.0502682385482771	1.1513671875	1.1142578125	0.18586543659776666
Odoribacter splanchnicus	11042019	G9LM1847	2	1	LM1847	1	2	Mecillinam	0.5	FALSE	NT5081	TRUE	2.8929325657418926e-5	0.001095290251916758	1.0502682385482771	1.1513671875	1.1142578125	3.223472712413574e-5
Parabacteroides distasonis	11042019	G9LM1847	2	43	LM1847	1	2	Mecillinam	0.5	FALSE	NT5074	TRUE	0.0012439610032690138	0.047097480832420595	1.0502682385482771	1.1513671875	1.1142578125	0.0013860932663378367
Parabacteroides merdae	11042019	G9LM1847	2	899	LM1847	1	2	Mecillinam	0.5	FALSE	NT5071	FALSE	0.026007463766019614	0.9846659364731654	1.0502682385482771	1.1513671875	1.1142578125	0.028979019684598026
Prevotella copri	11042019	G9LM1847	2	1	LM1847	1	2	Mecillinam	0.5	FALSE	NT5019	TRUE	2.8929325657418926e-5	0.001095290251916758	1.0502682385482771	1.1513671875	1.1142578125	3.223472712413574e-5
Roseburia intestinalis	11042019	G9LM1847	2	148	LM1847	1	2	Mecillinam	0.5	FALSE	NT5011	FALSE	0.004281540197298001	0.16210295728368018	1.0502682385482771	1.1513671875	1.1142578125	0.004770739614372089
Ruminococcus bromii	11042019	G9LM1847	2	0	LM1847	1	2	Mecillinam	0.5	FALSE	NT5045	TRUE	0	0	1.0502682385482771	1.1513671875	1.1142578125	0
Ruminococcus gnavus	11042019	G9LM1847	2	141	LM1847	1	2	Mecillinam	0.5	FALSE	NT5046	FALSE	0.004079034917696069	0.1544359255202629	1.0502682385482771	1.1513671875	1.1142578125	0.004545096524503139
Ruminococcus torques	11042019	G9LM1847	2	3	LM1847	1	2	Mecillinam	0.5	FALSE	NT5047	TRUE	8.678797697225678e-5	0.0032858707557502738	1.0502682385482771	1.1513671875	1.1142578125	9.67041813724072e-5
Streptococcus parasanguinis	11042019	G9LM1847	2	913	LM1847	1	2	Mecillinam	0.5	FALSE	NT5072	FALSE	0.02641247432522348	1	1.0502682385482771	1.1513671875	1.1142578125	0.029430305864335926
Streptococcus salivarius	11042019	G9LM1847	2	159	LM1847	1	2	Mecillinam	0.5	FALSE	NT5038	FALSE	0.0045997627795296096	0.17415115005476453	1.0502682385482771	1.1513671875	1.1142578125	0.005125321612737582
Veillonella parvula	11042019	G9LM1847	2	4685	LM1847	1	2	Mecillinam	0.5	FALSE	NT5017	FALSE	0.13553389070500765	5.131434830230011	1.0502682385482771	1.1513671875	1.1142578125	0.1510196965765759
Akkermansia muciniphila	11042019	E11LM1844	1	0	LM1844	1	2	Aripiprazole	20	FALSE	NT5021	TRUE	0	0	0.9970688977483296	1.0656219392752204	1.000979431929481	0
Bacteroides fragilis	11042019	E11LM1844	1	21	LM1844	1	2	Aripiprazole	20	FALSE	NT5003	FALSE	0.0025754231052244297	0.10824742268041238	0.9970688977483296	1.0656219392752204	1.000979431929481	0.0025779455568456094
Bacteroides thetaiotaomicron	11042019	E11LM1844	1	152	LM1844	1	2	Aripiprazole	20	FALSE	NT5004	FALSE	0.018641157714005395	0.7835051546391752	0.9970688977483296	1.0656219392752204	1.000979431929481	0.01865941545907298
Bacteroides uniformis	11042019	E11LM1844	1	14	LM1844	1	2	Aripiprazole	20	FALSE	NT5002	FALSE	0.0017169487368162864	0.07216494845360824	0.9970688977483296	1.0656219392752204	1.000979431929481	0.0017186303712304063
Bifidobacterium adolescentis	11042019	E11LM1844	1	1	LM1844	1	2	Aripiprazole	20	FALSE	NT5022	TRUE	1.226391954868776e-4	0.005154639175257732	0.9970688977483296	1.0656219392752204	1.000979431929481	1.227593122307433e-4
Bifidobacterium longum subsp. longum	11042019	E11LM1844	1	0	LM1844	1	2	Aripiprazole	20	FALSE	NT5028	TRUE	0	0	0.9970688977483296	1.0656219392752204	1.000979431929481	0
Bilophila wadsworthia	11042019	E11LM1844	1	5	LM1844	1	2	Aripiprazole	20	FALSE	NT5036	TRUE	6.131959774343881e-4	0.025773195876288662	0.9970688977483296	1.0656219392752204	1.000979431929481	6.137965611537166e-4
Blautia obeum	11042019	E11LM1844	1	0	LM1844	1	2	Aripiprazole	20	FALSE	NT5069	TRUE	0	0	0.9970688977483296	1.0656219392752204	1.000979431929481	0
Clostridium perfringens	11042019	E11LM1844	1	2340	LM1844	1	2	Aripiprazole	20	FALSE	NT5032	FALSE	0.2869757174392936	12.061855670103094	0.9970688977483296	1.0656219392752204	1.000979431929481	0.28725679061993936
Collinsella aerofaciens	11042019	E11LM1844	1	15	LM1844	1	2	Aripiprazole	20	FALSE	NT5073	FALSE	0.001839587932303164	0.07731958762886598	0.9970688977483296	1.0656219392752204	1.000979431929481	0.0018413896834611496
Coprococcus comes	11042019	E11LM1844	1	49	LM1844	1	2	Aripiprazole	20	FALSE	NT5048	FALSE	0.0060093205788570025	0.25257731958762886	0.9970688977483296	1.0656219392752204	1.000979431929481	0.006015206299306422
Dorea formicigenerans	11042019	E11LM1844	1	24	LM1844	1	2	Aripiprazole	20	FALSE	NT5076	FALSE	0.0029433406916850625	0.12371134020618557	0.9970688977483296	1.0656219392752204	1.000979431929481	0.0029462234935378395
Eggerthella lenta	11042019	E11LM1844	1	124	LM1844	1	2	Aripiprazole	20	FALSE	NT5024	FALSE	0.015207260240372823	0.6391752577319587	0.9970688977483296	1.0656219392752204	1.000979431929481	0.015222154716612169
Escherichia coli ED1a	11042019	E11LM1844	1	1445	LM1844	1	2	Aripiprazole	20	FALSE	NT5078	FALSE	0.17721363747853813	7.448453608247423	0.9970688977483296	1.0656219392752204	1.000979431929481	0.17738720617342407
Eubacterium rectale	11042019	E11LM1844	1	6	LM1844	1	2	Aripiprazole	20	FALSE	NT5009	FALSE	7.358351729212656e-4	0.030927835051546393	0.9970688977483296	1.0656219392752204	1.000979431929481	7.365558733844599e-4
Fusobacterium nucleatum subsp. nucleatum	11042019	E11LM1844	1	2635	LM1844	1	2	Aripiprazole	20	FALSE	NT5025	FALSE	0.32315428010792246	13.582474226804123	0.9970688977483296	1.0656219392752204	1.000979431929481	0.3234707877280086
Odoribacter splanchnicus	11042019	E11LM1844	1	0	LM1844	1	2	Aripiprazole	20	FALSE	NT5081	TRUE	0	0	0.9970688977483296	1.0656219392752204	1.000979431929481	0
Parabacteroides distasonis	11042019	E11LM1844	1	2	LM1844	1	2	Aripiprazole	20	FALSE	NT5074	TRUE	2.452783909737552e-4	0.010309278350515464	0.9970688977483296	1.0656219392752204	1.000979431929481	2.455186244614866e-4
Parabacteroides merdae	11042019	E11LM1844	1	95	LM1844	1	2	Aripiprazole	20	FALSE	NT5071	FALSE	0.011650723571253373	0.4896907216494846	0.9970688977483296	1.0656219392752204	1.000979431929481	0.011662134661920615
Prevotella copri	11042019	E11LM1844	1	1	LM1844	1	2	Aripiprazole	20	FALSE	NT5019	TRUE	1.226391954868776e-4	0.005154639175257732	0.9970688977483296	1.0656219392752204	1.000979431929481	1.227593122307433e-4
Roseburia intestinalis	11042019	E11LM1844	1	77	LM1844	1	2	Aripiprazole	20	FALSE	NT5011	FALSE	0.009443218052489575	0.39690721649484534	0.9970688977483296	1.0656219392752204	1.000979431929481	0.009452467041767235
Ruminococcus bromii	11042019	E11LM1844	1	0	LM1844	1	2	Aripiprazole	20	FALSE	NT5045	TRUE	0	0	0.9970688977483296	1.0656219392752204	1.000979431929481	0
Ruminococcus gnavus	11042019	E11LM1844	1	9	LM1844	1	2	Aripiprazole	20	FALSE	NT5046	FALSE	0.0011037527593818985	0.04639175257731959	0.9970688977483296	1.0656219392752204	1.000979431929481	0.0011048338100766897
Ruminococcus torques	11042019	E11LM1844	1	0	LM1844	1	2	Aripiprazole	20	FALSE	NT5047	TRUE	0	0	0.9970688977483296	1.0656219392752204	1.000979431929481	0
Streptococcus parasanguinis	11042019	E11LM1844	1	318	LM1844	1	2	Aripiprazole	20	FALSE	NT5072	FALSE	0.03899926416482708	1.639175257731959	0.9970688977483296	1.0656219392752204	1.000979431929481	0.03903746128937637
Streptococcus salivarius	11042019	E11LM1844	1	50	LM1844	1	2	Aripiprazole	20	FALSE	NT5038	FALSE	0.00613195977434388	0.25773195876288657	0.9970688977483296	1.0656219392752204	1.000979431929481	0.006137965611537165
Veillonella parvula	11042019	E11LM1844	1	525	LM1844	1	2	Aripiprazole	20	FALSE	NT5017	FALSE	0.06438557763061074	2.7061855670103094	0.9970688977483296	1.0656219392752204	1.000979431929481	0.06444863892114024
Akkermansia muciniphila	11042019	F5LM1857	2	0	LM1857	1	1	Simvastatin	20	FALSE	NT5021	TRUE	0	0	0.9775068045726728	1.1036192364898365	1.0312345066931083	0
Bacteroides fragilis	11042019	F5LM1857	2	702	LM1857	1	1	Simvastatin	20	FALSE	NT5003	FALSE	0.017756418363475402	0.3246993524514339	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.018311031331695007
Bacteroides thetaiotaomicron	11042019	F5LM1857	2	2162	LM1857	1	1	Simvastatin	20	FALSE	NT5004	FALSE	0.05468572151258379	1	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.056393803047186046
Bacteroides uniformis	11042019	F5LM1857	2	491	LM1857	1	1	Simvastatin	20	FALSE	NT5002	FALSE	0.012419375237131656	0.227104532839963	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.012807288296100068
Bifidobacterium adolescentis	11042019	F5LM1857	2	5	LM1857	1	1	Simvastatin	20	FALSE	NT5022	TRUE	1.264702162640698e-4	0.002312673450508788	0.9775068045726728	1.1036192364898365	1.0312345066931083	1.3042045108044875e-4
Bifidobacterium longum subsp. longum	11042019	F5LM1857	2	0	LM1857	1	1	Simvastatin	20	FALSE	NT5028	TRUE	0	0	0.9775068045726728	1.1036192364898365	1.0312345066931083	0
Bilophila wadsworthia	11042019	F5LM1857	2	10	LM1857	1	1	Simvastatin	20	FALSE	NT5036	TRUE	2.529404325281396e-4	0.004625346901017576	0.9775068045726728	1.1036192364898365	1.0312345066931083	2.608409021608975e-4
Blautia obeum	11042019	F5LM1857	2	21	LM1857	1	1	Simvastatin	20	FALSE	NT5069	TRUE	5.311749083090932e-4	0.00971322849213691	0.9775068045726728	1.1036192364898365	1.0312345066931083	5.477658945378848e-4
Clostridium perfringens	11042019	F5LM1857	2	8441	LM1857	1	1	Simvastatin	20	FALSE	NT5032	FALSE	0.21350701909700265	3.9042553191489358	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.22017580551401358
Collinsella aerofaciens	11042019	F5LM1857	2	152	LM1857	1	1	Simvastatin	20	FALSE	NT5073	FALSE	0.0038446945744277225	0.07030527289546716	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.0039647817128456424
Coprococcus comes	11042019	F5LM1857	2	234	LM1857	1	1	Simvastatin	20	FALSE	NT5048	FALSE	0.005918806121158467	0.10823311748381129	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.0061036771105650025
Dorea formicigenerans	11042019	F5LM1857	2	207	LM1857	1	1	Simvastatin	20	FALSE	NT5076	FALSE	0.00523586695333249	0.09574468085106382	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.0053994066747305785
Eggerthella lenta	11042019	F5LM1857	2	222	LM1857	1	1	Simvastatin	20	FALSE	NT5024	FALSE	0.0056152776021247	0.1026827012025902	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.005790668027971926
Escherichia coli ED1a	11042019	F5LM1857	2	7393	LM1857	1	1	Simvastatin	20	FALSE	NT5078	FALSE	0.18699886176805364	3.4195189639222945	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.19283967896755155
Eubacterium rectale	11042019	F5LM1857	2	300	LM1857	1	1	Simvastatin	20	FALSE	NT5009	FALSE	0.007588212975844189	0.13876040703052728	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.007825227064826926
Fusobacterium nucleatum subsp. nucleatum	11042019	F5LM1857	2	4482	LM1857	1	1	Simvastatin	20	FALSE	NT5025	FALSE	0.11336790185911218	2.0730804810360777	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.11690889234851427
Odoribacter splanchnicus	11042019	F5LM1857	2	3	LM1857	1	1	Simvastatin	20	FALSE	NT5081	TRUE	7.588212975844188e-5	0.0013876040703052729	0.9775068045726728	1.1036192364898365	1.0312345066931083	7.825227064826925e-5
Parabacteroides distasonis	11042019	F5LM1857	2	3	LM1857	1	1	Simvastatin	20	FALSE	NT5074	TRUE	7.588212975844188e-5	0.0013876040703052729	0.9775068045726728	1.1036192364898365	1.0312345066931083	7.825227064826925e-5
Parabacteroides merdae	11042019	F5LM1857	2	829	LM1857	1	1	Simvastatin	20	FALSE	NT5071	FALSE	0.020968761856582776	0.3834412580943571	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.021623710789138405
Prevotella copri	11042019	F5LM1857	2	0	LM1857	1	1	Simvastatin	20	FALSE	NT5019	TRUE	0	0	0.9775068045726728	1.1036192364898365	1.0312345066931083	0
Roseburia intestinalis	11042019	F5LM1857	2	831	LM1857	1	1	Simvastatin	20	FALSE	NT5011	FALSE	0.021019349943088402	0.38436632747456057	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.021675878969570583
Ruminococcus bromii	11042019	F5LM1857	2	0	LM1857	1	1	Simvastatin	20	FALSE	NT5045	TRUE	0	0	0.9775068045726728	1.1036192364898365	1.0312345066931083	0
Ruminococcus gnavus	11042019	F5LM1857	2	49	LM1857	1	1	Simvastatin	20	FALSE	NT5046	FALSE	0.0012394081193878841	0.022664199814986123	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.0012781204205883979
Ruminococcus torques	11042019	F5LM1857	2	1	LM1857	1	1	Simvastatin	20	FALSE	NT5047	TRUE	2.529404325281396e-5	4.625346901017576e-4	0.9775068045726728	1.1036192364898365	1.0312345066931083	2.608409021608975e-5
Streptococcus parasanguinis	11042019	F5LM1857	2	2438	LM1857	1	1	Simvastatin	20	FALSE	NT5072	FALSE	0.06166687745036044	1.127659574468085	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.06359301194682682
Streptococcus salivarius	11042019	F5LM1857	2	852	LM1857	1	1	Simvastatin	20	FALSE	NT5038	FALSE	0.021550524851397496	0.39407955596669747	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.02222364486410847
Veillonella parvula	11042019	F5LM1857	2	7727	LM1857	1	1	Simvastatin	20	FALSE	NT5017	FALSE	0.19544707221449348	3.574005550416281	0.9775068045726728	1.1036192364898365	1.0312345066931083	0.2015517650997255
Akkermansia muciniphila	11042019	E11LM1847	2	17	LM1847	1	2	Niclosamide	80	FALSE	NT5021	TRUE	8.409596834034134e-4	0.014756944444444446	0.8134821936448098	0.9169921875	0.908203125	7.637622124659906e-4
Bacteroides fragilis	11042019	E11LM1847	2	26	LM1847	1	2	Niclosamide	80	FALSE	NT5003	FALSE	0.0012861736334405145	0.022569444444444444	0.8134821936448098	0.9169921875	0.908203125	0.0011681069131832798
Bacteroides thetaiotaomicron	11042019	E11LM1847	2	2462	LM1847	1	2	Niclosamide	80	FALSE	NT5004	FALSE	0.12179074944348256	2.1371527777777777	0.8134821936448098	0.9169921875	0.908203125	0.11061073924066288
Bacteroides uniformis	11042019	E11LM1847	2	582	LM1847	1	2	Niclosamide	80	FALSE	NT5002	FALSE	0.02879050210239921	0.5052083333333334	0.8134821936448098	0.9169921875	0.908203125	0.02614762397971803
Bifidobacterium adolescentis	11042019	E11LM1847	2	0	LM1847	1	2	Niclosamide	80	FALSE	NT5022	TRUE	0	0	0.8134821936448098	0.9169921875	0.908203125	0
Bifidobacterium longum subsp. longum	11042019	E11LM1847	2	0	LM1847	1	2	Niclosamide	80	FALSE	NT5028	TRUE	0	0	0.8134821936448098	0.9169921875	0.908203125	0
Bilophila wadsworthia	11042019	E11LM1847	2	33	LM1847	1	2	Niclosamide	80	FALSE	NT5036	TRUE	0.0016324511501360375	0.028645833333333332	0.8134821936448098	0.9169921875	0.908203125	0.0014825972359633936
Blautia obeum	11042019	E11LM1847	2	0	LM1847	1	2	Niclosamide	80	FALSE	NT5069	TRUE	0	0	0.8134821936448098	0.9169921875	0.908203125	0
Clostridium perfringens	11042019	E11LM1847	2	1800	LM1847	1	2	Niclosamide	80	FALSE	NT5032	FALSE	0.08904279000742023	1.5625	0.8134821936448098	0.9169921875	0.908203125	0.08086894014345783
Collinsella aerofaciens	11042019	E11LM1847	2	3	LM1847	1	2	Niclosamide	80	FALSE	NT5073	FALSE	1.4840465001236705e-4	0.0026041666666666665	0.8134821936448098	0.9169921875	0.908203125	1.3478156690576305e-4
Coprococcus comes	11042019	E11LM1847	2	118	LM1847	1	2	Niclosamide	80	FALSE	NT5048	FALSE	0.005837249567153104	0.10243055555555555	0.8134821936448098	0.9169921875	0.908203125	0.005301408298293346
Dorea formicigenerans	11042019	E11LM1847	2	9	LM1847	1	2	Niclosamide	80	FALSE	NT5076	FALSE	4.4521395003710115e-4	0.0078125	0.8134821936448098	0.9169921875	0.908203125	4.0434470071728915e-4
Eggerthella lenta	11042019	E11LM1847	2	275	LM1847	1	2	Niclosamide	80	FALSE	NT5024	FALSE	0.01360375958446698	0.2387152777777778	0.8134821936448098	0.9169921875	0.908203125	0.012354976966361612
Escherichia coli ED1a	11042019	E11LM1847	2	6275	LM1847	1	2	Niclosamide	80	FALSE	NT5078	FALSE	0.31041305960920107	5.447048611111111	0.8134821936448098	0.9169921875	0.908203125	0.2819181107778877
Eubacterium rectale	11042019	E11LM1847	2	2987	LM1847	1	2	Niclosamide	80	FALSE	NT5009	FALSE	0.1477615631956468	2.592881944444444	0.8134821936448098	0.9169921875	0.908203125	0.1341975134491714
Fusobacterium nucleatum subsp. nucleatum	11042019	E11LM1847	2	1152	LM1847	1	2	Niclosamide	80	FALSE	NT5025	FALSE	0.05698738560474895	1	0.8134821936448098	0.9169921875	0.908203125	0.05175612169181301
Odoribacter splanchnicus	11042019	E11LM1847	2	0	LM1847	1	2	Niclosamide	80	FALSE	NT5081	TRUE	0	0	0.8134821936448098	0.9169921875	0.908203125	0
Parabacteroides distasonis	11042019	E11LM1847	2	0	LM1847	1	2	Niclosamide	80	FALSE	NT5074	TRUE	0	0	0.8134821936448098	0.9169921875	0.908203125	0
