strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. thetaiotaomicron	C. comes	40	nifurtimox	D6	tech2	biol1	plate5	187	0.004619604446369284	-0.0017123287671232893	-0.005136986301369868
B. thetaiotaomicron	C. comes	40	nifurtimox	D6	tech2	biol2	plate4	189	0.008772804306649392	0.0032948929159802337	-0.0065897858319604674
B. thetaiotaomicron	E. coli ED1a	0	nifurtimox	C10	tech1	biol1	plate5	187	0.9587209302325581	1	1
B. thetaiotaomicron	E. coli ED1a	0	nifurtimox	C10	tech1	biol2	plate4	189	1.0021624961383997	1.016474464579901	1.016474464579901
B. thetaiotaomicron	E. coli ED1a	0	nifurtimox	D10	tech2	biol1	plate5	187	1.041279069767442	1.065068493150685	1.065068493150685
B. thetaiotaomicron	E. coli ED1a	0	nifurtimox	D10	tech2	biol2	plate4	189	0.9978375038616003	1.013179571663921	1.013179571663921
B. thetaiotaomicron	E. coli ED1a	20	nifurtimox	C11	tech1	biol1	plate5	187	0.7061046511627908	0.9195205479452055	0.9195205479452055
B. thetaiotaomicron	E. coli ED1a	20	nifurtimox	C11	tech1	biol2	plate4	189	0.9228709710637423	0.9983525535420099	0.9983525535420099
B. thetaiotaomicron	E. coli ED1a	20	nifurtimox	D11	tech2	biol1	plate5	187	0.7279069767441861	0.9297945205479453	0.9297945205479453
B. thetaiotaomicron	E. coli ED1a	20	nifurtimox	D11	tech2	biol2	plate4	189	0.9265781073009989	1.0082372322899507	1.0082372322899507
B. thetaiotaomicron	E. coli ED1a	40	nifurtimox	C12	tech1	biol2	plate4	189	0.1048295747090928	0.2800658978583196	0.2800658978583196
B. thetaiotaomicron	E. coli ED1a	40	nifurtimox	D12	tech2	biol1	plate5	187	0.013953488372093035	0.020547945205479472	0.020547945205479472
B. thetaiotaomicron	E. coli ED1a	40	nifurtimox	D12	tech2	biol2	plate4	189	0.08773555761507566	0.2537067545304777	0.2537067545304777
B. thetaiotaomicron	F. nucleatum	0	nifurtimox	C10	tech1	biol1	plate4	187	1.0011577424023153	1.011173184357542	1.011173184357542
B. thetaiotaomicron	F. nucleatum	0	nifurtimox	C10	tech1	biol2	plate3	189	1.0012219959266804	1.00471327572663	1.00471327572663
B. thetaiotaomicron	F. nucleatum	0	nifurtimox	D10	tech2	biol1	plate4	187	0.9988422575976845	1.0047885075818037	1.0047885075818037
B. thetaiotaomicron	F. nucleatum	0	nifurtimox	D10	tech2	biol2	plate3	189	0.9987780040733197	1.0219952867242736	1.0219952867242736
B. thetaiotaomicron	F. nucleatum	20	nifurtimox	C11	tech1	biol1	plate4	187	0.011287988422575987	0.007182761372705514	-0.003990422984836397
B. thetaiotaomicron	F. nucleatum	20	nifurtimox	C11	tech1	biol2	plate3	189	0.002443991853360491	0.0023566378633150063	0.0023566378633150063
B. thetaiotaomicron	F. nucleatum	20	nifurtimox	D11	tech2	biol1	plate4	187	0.009840810419681626	7.980845969672793e-4	-0.008778930566640072
B. thetaiotaomicron	F. nucleatum	20	nifurtimox	D11	tech2	biol2	plate3	189	0.005295315682281065	0.013354281225451702	0.01021209740769836
B. thetaiotaomicron	F. nucleatum	40	nifurtimox	C12	tech1	biol1	plate4	187	0.009261939218523887	0.007182761372705514	-0.005586592178770955
B. thetaiotaomicron	F. nucleatum	40	nifurtimox	C12	tech1	biol2	plate3	189	0.002647657841140532	7.855459544383353e-4	-7.855459544383353e-4
B. thetaiotaomicron	F. nucleatum	40	nifurtimox	D12	tech2	biol1	plate4	187	0.0037626628075253295	7.980845969672793e-4	-0.003990422984836397
B. thetaiotaomicron	F. nucleatum	40	nifurtimox	D12	tech2	biol2	plate3	189	0.010997963340122213	0.01021209740769836	-0.0023566378633150063
B. thetaiotaomicron	MGAM	0	nifurtimox	C1	tech1	biol2	plate3	189	1.0059695744271133	1.0361351139041635	1.0361351139041635
B. thetaiotaomicron	MGAM	0	nifurtimox	C4	tech1	biol1	plate4	187	1.0196563999380899	0.9952114924181963	0.9952114924181963
B. thetaiotaomicron	MGAM	0	nifurtimox	D1	tech2	biol2	plate3	189	0.9940304255728867	1.043990573448547	1.043990573448547
B. thetaiotaomicron	MGAM	0	nifurtimox	D4	tech2	biol1	plate4	187	0.9803436000619099	0.9872306464485238	0.9872306464485238
B. thetaiotaomicron	MGAM	20	nifurtimox	C2	tech1	biol2	plate3	189	0.007510109763142702	0.007069913589945019	-0.003927729772191677
B. thetaiotaomicron	MGAM	20	nifurtimox	C5	tech1	biol1	plate4	187	0.0021668472372697737	-0.007182761372705514	-0.008778930566640072
B. thetaiotaomicron	MGAM	20	nifurtimox	D2	tech2	biol2	plate3	189	0.01482765260928174	0.01021209740769836	-0.003927729772191677
B. thetaiotaomicron	MGAM	20	nifurtimox	D5	tech2	biol1	plate4	187	0.006190992106485069	-0.003990422984836397	-0.007182761372705514
B. thetaiotaomicron	MGAM	40	nifurtimox	C3	tech1	biol2	plate3	189	0.016175621028307354	0.01021209740769836	-0.0023566378633150063
B. thetaiotaomicron	MGAM	40	nifurtimox	C6	tech1	biol1	plate4	187	0.007119640922457829	-0.003990422984836397	-0.008778930566640072
B. thetaiotaomicron	MGAM	40	nifurtimox	D3	tech2	biol2	plate3	189	0.009820912767186607	0.005498821681068348	-0.005498821681068348
B. thetaiotaomicron	MGAM	40	nifurtimox	D6	tech2	biol1	plate4	187	0.007429190527782079	-0.0023942537909018378	-0.005586592178770955
B. thetaiotaomicron	R. intestinalis	0	nifurtimox	C7	tech1	biol1	plate4	187	1.0221991431909645	1.0095770151636074	1.0095770151636074
B. thetaiotaomicron	R. intestinalis	0	nifurtimox	C7	tech1	biol2	plate3	189	1.0005790387955995	0.9780047132757268	0.97643362136685
B. thetaiotaomicron	R. intestinalis	0	nifurtimox	D7	tech2	biol1	plate4	187	0.9778008568090355	0.9920191540303273	0.9920191540303273
B. thetaiotaomicron	R. intestinalis	0	nifurtimox	D7	tech2	biol2	plate3	189	0.9994209612044007	0.9905734485467401	0.9905734485467401
B. thetaiotaomicron	R. intestinalis	20	nifurtimox	C8	tech1	biol1	plate4	187	0.007789173049461258	-7.980845969672793e-4	-0.010375099760574632
B. thetaiotaomicron	R. intestinalis	20	nifurtimox	C8	tech1	biol2	plate3	189	0.0073344914109245395	0.011783189316575031	0.011783189316575031
B. thetaiotaomicron	R. intestinalis	20	nifurtimox	D8	tech2	biol1	plate4	187	0.002336751914838378	-0.008778930566640072	-0.010375099760574632
B. thetaiotaomicron	R. intestinalis	20	nifurtimox	D8	tech2	biol2	plate3	189	0.010615711252653941	0.011783189316575031	0.011783189316575031
B. thetaiotaomicron	R. intestinalis	40	nifurtimox	C9	tech1	biol1	plate4	187	0.007789173049461258	0.0023942537909018378	-0.003990422984836397
B. thetaiotaomicron	R. intestinalis	40	nifurtimox	C9	tech1	biol2	plate3	189	0.006562439683458797	-0.007069913589945019	-0.01021209740769836
B. thetaiotaomicron	R. intestinalis	40	nifurtimox	D9	tech2	biol1	plate4	187	7.789173049461259e-4	-0.008778930566640072	-0.010375099760574632
B. thetaiotaomicron	R. intestinalis	40	nifurtimox	D9	tech2	biol2	plate3	189	0.0030882069098629654	-0.005498821681068348	-0.007069913589945019
B. thetaiotaomicron	S. parasanguinis	0	nifurtimox	C7	tech1	biol1	plate5	187	1.00929889298893	0.9863013698630136	0.9863013698630136
B. thetaiotaomicron	S. parasanguinis	0	nifurtimox	C7	tech1	biol2	plate4	189	1.0010945709281962	0.9637561779242174	0.9637561779242174
B. thetaiotaomicron	S. parasanguinis	0	nifurtimox	D7	tech2	biol1	plate5	187	0.9907011070110701	1	1
B. thetaiotaomicron	S. parasanguinis	0	nifurtimox	D7	tech2	biol2	plate4	189	0.9989054290718038	0.9752883031301482	0.9752883031301482
B. thetaiotaomicron	S. parasanguinis	20	nifurtimox	C8	tech1	biol1	plate5	187	0.0014760147601476027	-0.006849315068493157	-0.008561643835616447
B. thetaiotaomicron	S. parasanguinis	20	nifurtimox	C8	tech1	biol2	plate4	189	0.021453590192644496	0.04118616144975287	0.04118616144975287
B. thetaiotaomicron	S. parasanguinis	20	nifurtimox	D8	tech2	biol1	plate5	187	0.00590405904059041	-0.0017123287671232893	-0.005136986301369868
B. thetaiotaomicron	S. parasanguinis	20	nifurtimox	D8	tech2	biol2	plate4	189	0.022985989492119094	0.046128500823723224	0.046128500823723224
B. thetaiotaomicron	S. parasanguinis	40	nifurtimox	C9	tech1	biol1	plate5	187	0.005608856088560891	-0.008561643835616447	-0.010273972602739736
B. thetaiotaomicron	S. parasanguinis	40	nifurtimox	C9	tech1	biol2	plate4	189	0.004378283712784592	-0.0065897858319604674	-0.009884678747940702
B. thetaiotaomicron	S. parasanguinis	40	nifurtimox	D9	tech2	biol1	plate5	187	0.002656826568265685	-0.0017123287671232893	-0.006849315068493157
B. thetaiotaomicron	S. parasanguinis	40	nifurtimox	D9	tech2	biol2	plate4	189	0.01313485113835378	0.011532125205930818	-0.0016474464579901169
B. thetaiotaomicron	S. salivarius	0	nifurtimox	C1	tech1	biol2	plate4	189	0.9957480470681301	0.985172981878089	0.985172981878089
B. thetaiotaomicron	S. salivarius	0	nifurtimox	D1	tech2	biol1	plate5	187	1	0.9931506849315068	0.9931506849315068
B. thetaiotaomicron	S. salivarius	0	nifurtimox	D1	tech2	biol2	plate4	189	1.0042519529318699	0.9868204283360791	0.9868204283360791
B. thetaiotaomicron	S. salivarius	20	nifurtimox	C2	tech1	biol1	plate5	187	0.009113504556752285	0	-0.008561643835616447
B. thetaiotaomicron	S. salivarius	20	nifurtimox	C2	tech1	biol2	plate4	189	0.009888262632255524	0.013179571663920935	0.013179571663920935
B. thetaiotaomicron	S. salivarius	20	nifurtimox	D2	tech2	biol1	plate5	187	0.010770505385252703	0.010273972602739736	-0.005136986301369868
B. thetaiotaomicron	S. salivarius	20	nifurtimox	D2	tech2	biol2	plate4	189	0.008108375358449528	0.009884678747940702	0.009884678747940702
B. thetaiotaomicron	S. salivarius	40	nifurtimox	C3	tech1	biol1	plate5	187	0.0030378348522507623	0	-0.005136986301369868
B. thetaiotaomicron	S. salivarius	40	nifurtimox	C3	tech1	biol2	plate4	189	0.004944131316127763	-0.004942339373970351	-0.008237232289950585
B. thetaiotaomicron	S. salivarius	40	nifurtimox	D3	tech2	biol1	plate5	187	0.0038663352665009704	0	-0.0034246575342465786
B. thetaiotaomicron	S. salivarius	40	nifurtimox	D3	tech2	biol2	plate4	189	0.003559774547611989	0.0016474464579901169	-0.008237232289950585
B. vulgatus	B. vulgatus	0	nifurtimox	A4	tech1	biol2	plate3	189	1.0079084637388525	0.989821882951654	0.989821882951654
B. vulgatus	B. vulgatus	0	nifurtimox	B4	tech2	biol2	plate3	189	0.9920915362611474	1.0016963528413911	1.0016963528413911
B. vulgatus	B. vulgatus	20	nifurtimox	A5	tech1	biol2	plate3	189	0.4447248864209994	0.8490245971162002	0.8490245971162002
B. vulgatus	B. vulgatus	20	nifurtimox	B5	tech2	biol2	plate3	189	0.4056873632845364	0.8541136556403734	0.8541136556403734
B. vulgatus	B. vulgatus	40	nifurtimox	A6	tech1	biol2	plate3	189	0.014639071176173664	0.009329940627650562	-0.002544529262086517
B. vulgatus	B. vulgatus	40	nifurtimox	B6	tech2	biol2	plate3	189	0.011105502271580017	0.004240882103477527	-0.002544529262086517
B. vulgatus	C. comes	0	nifurtimox	A4	tech1	biol1	plate5	187	1	1.142314990512334	1.142314990512334
B. vulgatus	C. comes	0	nifurtimox	A4	tech1	biol2	plate4	189	0.9982099267697314	1.111111111111111	1.111111111111111
B. vulgatus	C. comes	0	nifurtimox	B4	tech2	biol2	plate4	189	1.0017900732302685	1.1379310344827585	1.1379310344827585
B. vulgatus	C. comes	20	nifurtimox	A5	tech1	biol1	plate5	187	0.1740833594484488	0.7552182163187856	0.7552182163187856
B. vulgatus	C. comes	20	nifurtimox	A5	tech1	biol2	plate4	189	0.5980471928397071	1.0478927203065134	1.0478927203065134
B. vulgatus	C. comes	20	nifurtimox	B5	tech2	biol1	plate5	187	0.14760263240363525	0.6736242884250474	0.6736242884250474
B. vulgatus	C. comes	20	nifurtimox	B5	tech2	biol2	plate4	189	0.5461350691619202	1.053639846743295	1.053639846743295
B. vulgatus	C. comes	40	nifurtimox	A6	tech1	biol1	plate5	187	0.007991225321215926	0.009487666034155606	0.001897533206831121
B. vulgatus	C. comes	40	nifurtimox	A6	tech1	biol2	plate4	189	0.011228641171684305	0.00957854406130269	0
B. vulgatus	C. comes	40	nifurtimox	B6	tech2	biol1	plate5	187	0.011281729865246014	0.011385199240986727	0
B. vulgatus	C. comes	40	nifurtimox	B6	tech2	biol2	plate4	189	0.011391375101708717	0.01724137931034484	0.007662835249042152
B. vulgatus	E. coli ED1a	0	nifurtimox	A10	tech1	biol1	plate5	187	1.0239792611795204	0.9715370018975332	0.9715370018975332
B. vulgatus	E. coli ED1a	0	nifurtimox	A10	tech1	biol2	plate4	189	1.0073006022996898	0.9731800766283525	0.9731800766283525
B. vulgatus	E. coli ED1a	0	nifurtimox	B10	tech2	biol1	plate5	187	0.9760207388204796	0.96963946869070206	0.96963946869070206
B. vulgatus	E. coli ED1a	0	nifurtimox	B10	tech2	biol2	plate4	189	0.9926993977003103	0.975095785440613	0.975095785440613
B. vulgatus	E. coli ED1a	20	nifurtimox	A11	tech1	biol1	plate5	187	1.0004629200999908	0.9449715370018975	0.9449715370018975
B. vulgatus	E. coli ED1a	20	nifurtimox	A11	tech1	biol2	plate4	189	1.0031027559773682	0.9655172413793103	0.9655172413793103
B. vulgatus	E. coli ED1a	20	nifurtimox	B11	tech2	biol1	plate5	187	0.9954633830200907	0.9848197343453511	0.9848197343453511
B. vulgatus	E. coli ED1a	20	nifurtimox	B11	tech2	biol2	plate4	189	0.9673298047088885	0.9578544061302682	0.9578544061302682
B. vulgatus	E. coli ED1a	40	nifurtimox	A12	tech1	biol1	plate5	187	0.8247384501435053	0.9184060721062618	0.9184060721062618
B. vulgatus	E. coli ED1a	40	nifurtimox	A12	tech1	biol2	plate4	189	0.8005110421609781	0.925287356321839	0.925287356321839
B. vulgatus	E. coli ED1a	40	nifurtimox	B12	tech2	biol1	plate5	187	0.8406629015831867	0.9544592030360531	0.9544592030360531
B. vulgatus	E. coli ED1a	40	nifurtimox	B12	tech2	biol2	plate4	189	0.765833181237452	0.9233716475095785	0.9233716475095785
B. vulgatus	F. nucleatum	0	nifurtimox	A10	tech1	biol1	plate4	187	1.0060172385753783	0.9686727122835944	0.9686727122835944
B. vulgatus	F. nucleatum	0	nifurtimox	A10	tech1	biol2	plate3	189	1.012672623883022	1	1
B. vulgatus	F. nucleatum	0	nifurtimox	B10	tech2	biol1	plate4	187	0.9939827614246219	0.9785655399835119	0.9785655399835119
B. vulgatus	F. nucleatum	0	nifurtimox	B10	tech2	biol2	plate3	189	0.9873273761169779	1.006785411365564	1.006785411365564
B. vulgatus	F. nucleatum	20	nifurtimox	A11	tech1	biol1	plate4	187	0.058383476988128145	0.2860676009892828	0.2860676009892828
B. vulgatus	F. nucleatum	20	nifurtimox	A11	tech1	biol2	plate3	189	0.5470349309504468	0.94232400339270594	0.94232400339270594
B. vulgatus	F. nucleatum	20	nifurtimox	B11	tech2	biol1	plate4	187	0.05122784192551634	0.21846661170651283	0.21846661170651283
B. vulgatus	F. nucleatum	20	nifurtimox	B11	tech2	biol2	plate3	189	0.5007311129163281	0.9151823579304498	0.9151823579304498
B. vulgatus	F. nucleatum	40	nifurtimox	A12	tech1	biol1	plate4	187	0.006017238575378115	0.0024732069249793925	-0.0024732069249793925
B. vulgatus	F. nucleatum	40	nifurtimox	A12	tech1	biol2	plate3	189	0.010073111291632825	0.009329940627650562	8.481764206955055e-4
B. vulgatus	F. nucleatum	40	nifurtimox	B12	tech2	biol1	plate4	187	0.012034477150756232	0.007419620774938177	-0.0024732069249793925
B. vulgatus	F. nucleatum	40	nifurtimox	B12	tech2	biol2	plate3	189	0.010885458976441924	0.002544529262086517	-0.005937234944868539
B. vulgatus	MGAM	0	nifurtimox	A1	tech1	biol2	plate3	189	0.992	1	1
B. vulgatus	MGAM	0	nifurtimox	A4	tech1	biol1	plate4	187	1.0134259990522823	1.0049464138499589	1.0049464138499589
B. vulgatus	MGAM	0	nifurtimox	B1	tech2	biol2	plate3	189	1.0080000000000002	1.0424088210347755	1.0424088210347755
B. vulgatus	MGAM	0	nifurtimox	B4	tech2	biol1	plate4	187	0.9865740009477175	1.0197856553998352	1.0197856553998352
B. vulgatus	MGAM	20	nifurtimox	A2	tech1	biol2	plate3	189	0.01160784313725491	0.026293469041560626	0.026293469041560626
B. vulgatus	MGAM	20	nifurtimox	A5	tech1	biol1	plate4	187	0.009319222871584274	0.004122011541632321	0.004122011541632321
B. vulgatus	MGAM	20	nifurtimox	B2	tech2	biol2	plate3	189	0.004705882352941176	0.0229007633587786	0.0229007633587786
B. vulgatus	MGAM	20	nifurtimox	B5	tech2	biol1	plate4	187	0.003317011530563894	0.0024732069249793925	8.244023083264641e-4
B. vulgatus	MGAM	40	nifurtimox	A3	tech1	biol2	plate3	189	0.012705882352941192	0.005937234944868539	-0.004240882103477527
B. vulgatus	MGAM	40	nifurtimox	A6	tech1	biol1	plate4	187	0.010740799241825942	0.005770816158285249	-0.0024732069249793925
B. vulgatus	MGAM	40	nifurtimox	B3	tech2	biol2	plate3	189	0.013490196078431391	0.002544529262086517	-0.009329940627650562
B. vulgatus	MGAM	40	nifurtimox	B6	tech2	biol1	plate4	187	0.009635128731637977	8.244023083264641e-4	-0.007419620774938177
B. vulgatus	R. intestinalis	0	nifurtimox	A7	tech1	biol1	plate4	187	1.0302615571776157	1.0115416323165705	1.0115416323165705
B. vulgatus	R. intestinalis	0	nifurtimox	A7	tech1	biol2	plate3	189	1.0028698979591837	0.989821882951654	0.989821882951654
B. vulgatus	R. intestinalis	0	nifurtimox	B7	tech2	biol1	plate4	187	0.9697384428223843	0.9950535861500412	0.9950535861500412
B. vulgatus	R. intestinalis	0	nifurtimox	B7	tech2	biol2	plate3	189	0.9971301020408162	1	1
B. vulgatus	R. intestinalis	20	nifurtimox	A8	tech1	biol1	plate4	187	0.19038929440389296	0.6850783182192911	0.6850783182192911
B. vulgatus	R. intestinalis	20	nifurtimox	A8	tech1	biol2	plate3	189	0.6146364795918366	0.9219677692960139	0.9219677692960139
B. vulgatus	R. intestinalis	20	nifurtimox	B8	tech2	biol1	plate4	187	0.13153892944038925	0.5828524319868096	0.5828524319868096
B. vulgatus	R. intestinalis	20	nifurtimox	B8	tech2	biol2	plate3	189	0.5926339285714285	0.9440203562340969	0.9440203562340969
B. vulgatus	R. intestinalis	40	nifurtimox	A9	tech1	biol1	plate4	187	0.008363746958637478	0.007419620774938177	-8.244023083264641e-4
B. vulgatus	R. intestinalis	40	nifurtimox	A9	tech1	biol2	plate3	189	0.01307397959183675	0.005937234944868539	-0.002544529262086517
B. vulgatus	R. intestinalis	40	nifurtimox	B9	tech2	biol1	plate4	187	0.0069951338199513435	0.004122011541632321	-0.0024732069249793925
B. vulgatus	R. intestinalis	40	nifurtimox	B9	tech2	biol2	plate3	189	0.01721938775510206	0.01950805767599663	0.0076335877862595495
B. vulgatus	S. parasanguinis	0	nifurtimox	A7	tech1	biol1	plate5	187	0.9991068238656663	0.9981024667931688	0.9981024667931688
B. vulgatus	S. parasanguinis	0	nifurtimox	A7	tech1	biol2	plate4	189	1.0091341579448145	0.9731800766283525	0.9731800766283525
B. vulgatus	S. parasanguinis	0	nifurtimox	B7	tech2	biol1	plate5	187	1.0008931761343338	1.0208728652751424	1.0208728652751424
B. vulgatus	S. parasanguinis	0	nifurtimox	B7	tech2	biol2	plate4	189	0.9908658420551855	0.978927203065134	0.978927203065134
B. vulgatus	S. parasanguinis	20	nifurtimox	A8	tech1	biol1	plate5	187	0.6954269381922114	0.9829222011385199	0.9829222011385199
B. vulgatus	S. parasanguinis	20	nifurtimox	A8	tech1	biol2	plate4	189	0.7274976213130352	0.9367816091954022	0.9367816091954022
B. vulgatus	S. parasanguinis	20	nifurtimox	B8	tech2	biol1	plate5	187	0.6538049303322615	0.9905123339658444	0.9905123339658444
B. vulgatus	S. parasanguinis	20	nifurtimox	B8	tech2	biol2	plate4	189	0.7120837297811609	0.9482758620689655	0.9482758620689655
B. vulgatus	S. parasanguinis	40	nifurtimox	A9	tech1	biol1	plate5	187	0.007681314755269746	0.005692599620493364	0
B. vulgatus	S. parasanguinis	40	nifurtimox	A9	tech1	biol2	plate4	189	0.0078020932445290285	0.005747126436781614	0
B. vulgatus	S. parasanguinis	40	nifurtimox	B9	tech2	biol1	plate5	187	0.002858163629867813	0.001897533206831121	0
B. vulgatus	S. parasanguinis	40	nifurtimox	B9	tech2	biol2	plate4	189	0.009324452901998107	-0.001915708812260538	-0.007662835249042152
B. vulgatus	S. salivarius	0	nifurtimox	A1	tech1	biol1	plate5	187	1.0034952813701503	0.9886148007590133	0.9886148007590133
B. vulgatus	S. salivarius	0	nifurtimox	A1	tech1	biol2	plate4	189	0.9894042035782525	1.0210727969348659	1.0210727969348659
B. vulgatus	S. salivarius	0	nifurtimox	B1	tech2	biol1	plate5	187	0.9965047186298496	1.0018975332068312	1.0018975332068312
B. vulgatus	S. salivarius	0	nifurtimox	B1	tech2	biol2	plate4	189	1.0105957964217476	1.0210727969348659	1.0210727969348659
B. vulgatus	S. salivarius	20	nifurtimox	A2	tech1	biol1	plate5	187	0.20831876966095766	0.7077798861480076	0.7077798861480076
B. vulgatus	S. salivarius	20	nifurtimox	A2	tech1	biol2	plate4	189	0.6512072259857565	0.9885057471264368	0.9885057471264368
B. vulgatus	S. salivarius	20	nifurtimox	B2	tech2	biol1	plate5	187	0.19591052079692411	0.7172675521821632	0.7172675521821632
B. vulgatus	S. salivarius	20	nifurtimox	B2	tech2	biol2	plate4	189	0.6564182734062881	1.0229885057471264	1.0229885057471264
B. vulgatus	S. salivarius	40	nifurtimox	A3	tech1	biol1	plate5	187	0.015554002097168828	0.009487666034155606	-0.003795066413662242
B. vulgatus	S. salivarius	40	nifurtimox	A3	tech1	biol2	plate4	189	0.014243529616119516	0.003831417624521076	-0.007662835249042152
B. vulgatus	S. salivarius	40	nifurtimox	B3	tech2	biol1	plate5	187	0.009612023767913322	0.011385199240986727	-0.001897533206831121
B. vulgatus	S. salivarius	40	nifurtimox	B3	tech2	biol2	plate4	189	0.012506513809275675	0.003831417624521076	-0.007662835249042152
C. comes	B. vulgatus	0	nifurtimox	A4	tech1	biol2	plate9	189	1.0342220453641067	1.5120274914089347	1.5120274914089347
C. comes	B. vulgatus	0	nifurtimox	B4	tech2	biol2	plate9	189	0.9657779546358932	1.5326460481099655	1.5326460481099655
C. comes	B. vulgatus	20	nifurtimox	A5	tech1	biol2	plate9	189	0.009550338241146048	-0.0034364261168384914	-0.024054982817869438
C. comes	B. vulgatus	20	nifurtimox	B5	tech2	biol2	plate9	189	0.0091524074810983	-0.010309278350515474	-0.020618556701030948
C. comes	B. vulgatus	40	nifurtimox	A6	tech1	biol2	plate9	189	0.009948269001193801	-0.013745704467353966	-0.024054982817869438
C. comes	B. vulgatus	40	nifurtimox	B6	tech2	biol2	plate9	189	0.003581376840429769	-0.010309278350515474	-0.020618556701030948
C. comes	C. comes	0	nifurtimox	A4	tech1	biol1	plate11	187	1.0058587727412889	1.1925754060324827	1.1925754060324827
C. comes	C. comes	0	nifurtimox	A4	tech1	biol2	plate10	189	1.0175644028103046	1.1740139211136893	1.1740139211136893
C. comes	C. comes	0	nifurtimox	B4	tech2	biol1	plate11	187	0.994141227258711	1.2157772621809746	1.2157772621809746
C. comes	C. comes	0	nifurtimox	B4	tech2	biol2	plate10	189	0.9824355971896956	1.1786542923433876	1.1786542923433876
C. comes	C. comes	20	nifurtimox	A5	tech1	biol1	plate11	187	0.01603453592352761	-0.00464037122969838	-0.0232018561484919
C. comes	C. comes	20	nifurtimox	A5	tech1	biol2	plate10	189	0.009953161592505862	-0.018561484918793524	-0.032482598607888664
C. comes	C. comes	20	nifurtimox	B5	tech2	biol1	plate11	187	0.015417823003391937	0	-0.013921113689095141
C. comes	C. comes	20	nifurtimox	B5	tech2	biol2	plate10	189	0.016393442622950838	0	-0.018561484918793524
C. comes	C. comes	40	nifurtimox	A6	tech1	biol1	plate11	187	0.003700277520814064	0.00928074245939676	0
C. comes	C. comes	40	nifurtimox	A6	tech1	biol2	plate10	189	0.012880562060889946	0.004640371229698381	-0.013921113689095143
C. comes	C. comes	40	nifurtimox	B6	tech2	biol1	plate11	187	0.0024668516805427094	0	0
C. comes	C. comes	40	nifurtimox	B6	tech2	biol2	plate10	189	0.012880562060889946	0.004640371229698381	-0.013921113689095143
C. comes	E. coli ED1a	0	nifurtimox	A10	tech1	biol1	plate11	187	1.0080213903743316	0.8259860788863109	0.8259860788863109
C. comes	E. coli ED1a	0	nifurtimox	A10	tech1	biol2	plate10	189	0.9875173370319001	0.9048723897911835	0.9048723897911835
C. comes	E. coli ED1a	0	nifurtimox	B10	tech2	biol1	plate11	187	0.9919786096256685	0.8213457076566125	0.8213457076566125
C. comes	E. coli ED1a	0	nifurtimox	B10	tech2	biol2	plate10	189	1.0124826629680999	0.8955916473317866	0.8955916473317866
C. comes	E. coli ED1a	20	nifurtimox	A11	tech1	biol1	plate11	187	1.1434937611408198	0.9095127610208817	0.9095127610208817
