id	drug	concentration	community	technical_replicate	sample_type	plate_number	time_point	area_drug	IS	area_is	IS_count	y	time
MZ006A_Clomiphene_2000_C2_tech1_WC_P2_t0_POS	Clomiphene	20	C2	tech1	WC	P2	t0	13138216	area_is_caffeine	227140	42	1.1911717937450637	0
MZ006A_Clomiphene_2000_C2_tech2_WC_P2_t0_POS	Clomiphene	20	C2	tech2	WC	P2	t0	9298027	area_is_caffeine	236737	42	0.8088282062549362	0
MZ006A_Ciprofloxacin_2000_C1_tech1_WC_P1_t0_POS	Ciprofloxacin	20	C1	tech1	WC	P1	t0	6148324	area_is_caffeine	306183	43	1.141479719407242	0
MZ006A_Ciprofloxacin_2000_C1_tech2_WC_P1_t0_POS	Ciprofloxacin	20	C1	tech2	WC	P1	t0	4311568	area_is_caffeine	285481	43	0.8585202805927582	0
MZ006A_Ciprofloxacin_2000_C2_tech1_WC_P2_t0_POS	Ciprofloxacin	20	C2	tech1	WC	P2	t0	4159753	area_is_caffeine	243527	43	1.0185703361156597	0
MZ006A_Ciprofloxacin_2000_C2_tech2_WC_P2_t0_POS	Ciprofloxacin	20	C2	tech2	WC	P2	t0	2485466	area_is_caffeine	175724	43	0.8434267000273579	0
MZ006A_Dienestrol_2000_C1_tech1_WC_P1_t0_POS	Dienestrol	20	C1	tech1	WC	P1	t0	525878	area_is_sulfamethoxazole	944834	42	0.919297528876107	0
MZ006A_Dienestrol_2000_C1_tech2_WC_P1_t0_POS	Dienestrol	20	C1	tech2	WC	P1	t0	511285	area_is_sulfamethoxazole	795886	42	1.0610571824193311	0
MZ006A_Dienestrol_2000_C2_tech1_WC_P2_t0_POS	Dienestrol	20	C2	tech1	WC	P2	t0	436344	area_is_sulfamethoxazole	711125	42	1.0461614051749977	0
MZ006A_Dienestrol_2000_C2_tech2_WC_P2_t0_POS	Dienestrol	20	C2	tech2	WC	P2	t0	396411	area_is_sulfamethoxazole	708576	42	0.9538385948250024	0
MZ006A_Mecillinam_2000_C1_tech1_WC_P1_t0_POS	Mecillinam	20	C1	tech1	WC	P1	t0	7189738	area_is_caffeine	292016	44	1.091680116412746	0
MZ006A_Mecillinam_2000_C1_tech2_WC_P1_t0_POS	Mecillinam	20	C1	tech2	WC	P1	t0	5378529	area_is_caffeine	262551	44	0.908319883587254	0
MZ006A_Mecillinam_2000_C2_tech1_WC_P2_t0_POS	Mecillinam	20	C2	tech1	WC	P2	t0	5537574	area_is_caffeine	230644	44	1.0622527646989477	0
MZ006A_Mecillinam_2000_C2_tech2_WC_P2_t0_POS	Mecillinam	20	C2	tech2	WC	P2	t0	4850412	area_is_caffeine	228846	44	0.9377472353010523	0
MZ006A_Aprepitant_0500_C2_tech1_WC_P1_t0_POS	Aprepitant	5	C2	tech1	WC	P1	t0	3509844	area_is_2-amino-cpb	435726	88	1.1276484914438	0
MZ006A_Aprepitant_0500_C2_tech2_WC_P1_t0_POS	Aprepitant	5	C2	tech2	WC	P1	t0	2488204	area_is_2-amino-cpb	399295	88	0.8723515085561999	0
MZ006A_Mefloquine_2000_C1_tech1_WC_P1_t0_POS	Mefloquine	20	C1	tech1	WC	P1	t0	30093590	area_is_caffeine	305560	44	1.008449273160568	0
MZ006A_Mefloquine_2000_C1_tech2_WC_P1_t0_POS	Mefloquine	20	C1	tech2	WC	P1	t0	23372807	area_is_caffeine	241364	44	0.9915507268394319	0
MZ006A_Mefloquine_2000_C2_tech1_WC_P2_t0_POS	Mefloquine	20	C2	tech1	WC	P2	t0	25502957	area_is_caffeine	243790	44	1.0440617282641134	0
MZ006A_Mefloquine_2000_C2_tech2_WC_P2_t0_POS	Mefloquine	20	C2	tech2	WC	P2	t0	21545980	area_is_caffeine	224951	44	0.9559382717358864	0
MZ006A_Methotrexate_2000_C1_tech1_WC_P1_t0_POS	Methotrexate	20	C1	tech1	WC	P1	t0	2004149	area_is_sulfamethoxazole	831315	44	1.0776192791816301	0
MZ006A_Methotrexate_2000_C1_tech2_WC_P1_t0_POS	Methotrexate	20	C1	tech2	WC	P1	t0	1594354	area_is_sulfamethoxazole	772637	44	0.92238072081837	0
MZ006A_Methotrexate_2000_C2_tech1_WC_P2_t0_POS	Methotrexate	20	C2	tech1	WC	P2	t0	1673292	area_is_sulfamethoxazole	675266	44	1.0582351737087643	0
MZ006A_Methotrexate_2000_C2_tech2_WC_P2_t0_POS	Methotrexate	20	C2	tech2	WC	P2	t0	1399824	area_is_sulfamethoxazole	697950	44	0.8565139975513435	0
MZ006A_Oxolinic acid_2000_C1_tech1_WC_P1_t0_POS	Oxolinic acid	20	C1	tech1	WC	P1	t0	3506039	area_is_sulfamethoxazole	844945	43	0.9580985147574641	0
MZ006A_Oxolinic acid_2000_C1_tech2_WC_P1_t0_POS	Oxolinic acid	20	C1	tech2	WC	P1	t0	3353567	area_is_sulfamethoxazole	743194	43	1.0419014852425357	0
MZ006A_Oxolinic acid_2000_C2_tech1_WC_P2_t0_POS	Oxolinic acid	20	C2	tech1	WC	P2	t0	2337948	area_is_sulfamethoxazole	758719	43	0.9455682540916068	0
MZ006A_Oxolinic acid_2000_C2_tech2_WC_P2_t0_POS	Oxolinic acid	20	C2	tech2	WC	P2	t0	2314676	area_is_sulfamethoxazole	699774	43	1.0150125260292113	0
MZ006A_Simvastatin_2000_C1_tech1_WC_P1_t0_POS	Simvastatin	20	C1	tech1	WC	P1	t0	1431097	area_is_warfarin	4185037	43	0.8199886618332994	0
MZ006A_Simvastatin_2000_C1_tech2_WC_P1_t0_POS	Simvastatin	20	C1	tech2	WC	P1	t0	1174284	area_is_warfarin	2386300	43	1.1800113381667006	0
MZ006A_Simvastatin_2000_C2_tech1_WC_P2_t0_POS	Simvastatin	20	C2	tech1	WC	P2	t0	1212587	area_is_warfarin	3261925	43	1.0685821846486265	0
MZ006A_Simvastatin_2000_C2_tech2_WC_P2_t0_POS	Simvastatin	20	C2	tech2	WC	P2	t0	1073887	area_is_warfarin	3314233	43	0.9314178153513734	0
MZ006A_Tamoxifen_2000_C1_tech1_WC_P1_t0_POS	Tamoxifen	20	C1	tech1	WC	P1	t0	15751747	area_is_sulfamethoxazole	814447	43	1.0582269271514717	0
MZ006A_Tamoxifen_2000_C1_tech2_WC_P1_t0_POS	Tamoxifen	20	C1	tech2	WC	P1	t0	12609656	area_is_sulfamethoxazole	732605	43	0.9417730728485283	0
MZ006A_Tamoxifen_2000_C2_tech1_WC_P2_t0_POS	Tamoxifen	20	C2	tech1	WC	P2	t0	16648094	area_is_sulfamethoxazole	691836	43	1.0748851850005827	0
MZ006A_Tamoxifen_2000_C2_tech2_WC_P2_t0_POS	Tamoxifen	20	C2	tech2	WC	P2	t0	14039084	area_is_sulfamethoxazole	677866	43	0.9251148149994173	0
SD006_Niclosamide_20_C1_WC_tech1_t0_P1-F2	Niclosamide	20	C1	tech1	WC	P1	t0	1339923	area_is_13c-niclosamide	4069091	44	0.6306430198385473	0
SD006_Niclosamide_20_C1_WC_tech2_t0_P1-A5	Niclosamide	20	C1	tech2	WC	P1	t0	2232524	area_is_13c-niclosamide	3122343	44	1.3693569801614527	0
SD006_Niclosamide_20_C2_WC_tech1_t0_P2-F5	Niclosamide	20	C2	tech1	WC	P2	t0	1837129	area_is_13c-niclosamide	3368501	44	0.8849296823195111	0
SD006_Niclosamide_20_C2_WC_tech2_t0_P2-A8	Niclosamide	20	C2	tech2	WC	P2	t0	1945907	area_is_13c-niclosamide	2831559	44	1.115070317680489	0
SD002_Nifurtimox_20_C1_WC_tech1_t0_P1-G2	Nifurtimox	20	C1	tech1	WC	P1	t0	35650	area_is_sulfamethoxazole	453794	43	1.0323076940935612	0
SD002_Nifurtimox_20_C1_WC_tech2_t0_P1-B5	Nifurtimox	20	C1	tech2	WC	P1	t0	32407	area_is_sulfamethoxazole	440058	43	0.9676923059064388	0
SD002_Nifurtimox_20_C2_WC_tech1_t0_P2-G5	Nifurtimox	20	C2	tech1	WC	P2	t0	43806	area_is_sulfamethoxazole	415635	43	1.123963628007574	0
SD002_Nifurtimox_20_C2_WC_tech2_t0_P2-B8	Nifurtimox	20	C2	tech2	WC	P2	t0	32370	area_is_sulfamethoxazole	394050	43	0.876036371992426	0
MZ006A_Chlorpromazine_2000_C1_tech1_WC_P1_t0_POS	Chlorpromazine	20	C1	tech1	WC	P1	t0	68349845	none	1	NA	1.0782934307328207	0
MZ006A_Chlorpromazine_2000_C1_tech2_WC_P1_t0_POS	Chlorpromazine	20	C1	tech2	WC	P1	t0	58424265	none	1	NA	0.9217065692671792	0
MZ006A_Chlorpromazine_2000_C2_tech1_WC_P2_t0_POS	Chlorpromazine	20	C2	tech1	WC	P2	t0	56715743	none	1	NA	1.0237751446301495	0
MZ006A_Chlorpromazine_2000_C2_tech2_WC_P2_t0_POS	Chlorpromazine	20	C2	tech2	WC	P2	t0	54081522	none	1	NA	0.9762248553698505	0
MZ006A_Ebselen_2000_C1_tech1_WC_P1_t0_POS	Ebselen	20	C1	tech1	WC	P1	t0	639943	none	1	NA	0.9080348375891798	0
MZ006A_Ebselen_2000_C1_tech2_WC_P1_t0_POS	Ebselen	20	C1	tech2	WC	P1	t0	769569	none	1	NA	1.0919651624108202	0
MZ006A_Ebselen_2000_C2_tech1_WC_P2_t0_POS	Ebselen	20	C2	tech1	WC	P2	t0	929187	none	1	NA	1.2545900112066755	0
MZ006A_Ebselen_2000_C2_tech2_WC_P2_t0_POS	Ebselen	20	C2	tech2	WC	P2	t0	552073	none	1	NA	0.7454099887933247	0
MZ006A_Azithromycin_0250_C1_tech1_WC_P1_t0_POS	Azithromycin	2.5	C1	tech1	WC	P1	t0	2395252	none	1	NA	1.0681899519097517	0
MZ006A_Azithromycin_0250_C1_tech2_WC_P1_t0_POS	Azithromycin	2.5	C1	tech2	WC	P1	t0	2089441	none	1	NA	0.9318100480902484	0
MZ006A_Azithromycin_0250_C2_tech1_WC_P1_t0_POS	Azithromycin	2.5	C2	tech1	WC	P1	t0	2812767	none	1	NA	0.9798920844950847	0
MZ006A_Azithromycin_0250_C2_tech2_WC_P1_t0_POS	Azithromycin	2.5	C2	tech2	WC	P1	t0	2439578	none	1	NA	0.8498831121484111	0
MZ006A_Chlorpromazine_0500_C1_tech1_WC_P1_t0_POS	Chlorpromazine	5	C1	tech1	WC	P1	t0	35577761	none	1	NA	1.0563301061773578	0
MZ006A_Chlorpromazine_0500_C1_tech2_WC_P1_t0_POS	Chlorpromazine	5	C1	tech2	WC	P1	t0	31783305	none	1	NA	0.9436698938226423	0
MZ006A_Chlorpromazine_0500_C2_tech1_WC_P1_t0_POS	Chlorpromazine	5	C2	tech1	WC	P1	t0	33717192	none	1	NA	1.028537803513701	0
MZ006A_Chlorpromazine_0500_C2_tech2_WC_P1_t0_POS	Chlorpromazine	5	C2	tech2	WC	P1	t0	31846158	none	1	NA	0.9714621964862992	0
MZ006A_Doxycycline_0250_C1_tech1_WC_P1_t0_POS	Doxycycline	2.5	C1	tech1	WC	P1	t0	808015	none	1	NA	1.123620270678992	0
MZ006A_Doxycycline_0250_C1_tech2_WC_P1_t0_POS	Doxycycline	2.5	C1	tech2	WC	P1	t0	630220	none	1	NA	0.876379729321008	0
MZ006A_Doxycycline_0250_C2_tech1_WC_P1_t0_POS	Doxycycline	2.5	C2	tech1	WC	P1	t0	817921	none	1	NA	1.1752464591921628	0
MZ006A_Doxycycline_0250_C2_tech2_WC_P1_t0_POS	Doxycycline	2.5	C2	tech2	WC	P1	t0	573993	none	1	NA	0.8247535408078372	0
MZ006A_Olanzapine_0500_C1_tech1_WC_P1_t0_POS	Olanzapine	5	C1	tech1	WC	P1	t0	5415153	none	1	NA	1.078363120903792	0
MZ006A_Olanzapine_0500_C1_tech2_WC_P1_t0_POS	Olanzapine	5	C1	tech2	WC	P1	t0	4628130	none	1	NA	0.9216368790962078	0
MZ006A_Olanzapine_0500_C2_tech1_WC_P1_t0_POS	Olanzapine	5	C2	tech1	WC	P1	t0	5867959	none	1	NA	1.0535603064251648	0
MZ006A_Olanzapine_0500_C2_tech2_WC_P1_t0_POS	Olanzapine	5	C2	tech2	WC	P1	t0	5271335	none	1	NA	0.9464396935748352	0
MZ006A_Sertindole_8000_C1_tech1_SN_P1_t1.25_POS.d	Sertindole	80	C1	tech1	SN	P1	t1.25	2653511	area_is_warfarin	1654401	43	0.7204620392535572	1.25
MZ006A_Sertindole_8000_C1_tech2_SN_P1_t1.25_POS.d	Sertindole	80	C1	tech2	SN	P1	t1.25	2358902	area_is_warfarin	1646460	43	0.6435609869556383	1.25
MZ006A_Sertindole_8000_C1_tech1_WC_P1_t1.25_POS.d	Sertindole	80	C1	tech1	WC	P1	t1.25	2801171	area_is_warfarin	1512028	43	0.8321675613115318	1.25
MZ006A_Sertindole_8000_C1_tech2_WC_P1_t1.25_POS.d	Sertindole	80	C1	tech2	WC	P1	t1.25	3449104	area_is_warfarin	1618128	43	0.9574683159004045	1.25
MZ006A_Sertindole_8000_C2_tech1_SN_P2_t1.25_POS.d	Sertindole	80	C2	tech1	SN	P2	t1.25	3090122	area_is_warfarin	1529529	43	1.1507579979306968	1.25
MZ006A_Sertindole_8000_C2_tech2_SN_P2_t1.25_POS.d	Sertindole	80	C2	tech2	SN	P2	t1.25	2533151	area_is_warfarin	1582763	43	0.9116146189204715	1.25
MZ006A_Sertindole_8000_C2_tech1_WC_P2_t1.25_POS.d	Sertindole	80	C2	tech1	WC	P2	t1.25	2881314	area_is_warfarin	1507905	43	1.0883853810795285	1.25
MZ006A_Sertindole_8000_C2_tech2_WC_P2_t1.25_POS.d	Sertindole	80	C2	tech2	WC	P2	t1.25	1980257	area_is_warfarin	1494885	43	0.7545358250038501	1.25
MZ006A_Amlodipine_8000_C1_tech1_SN_P1_t1.25_POS.d	Amlodipine	80	C1	tech1	SN	P1	t1.25	1353188	area_is_caffeine	172601	44	0.921977361269887	1.25
MZ006A_Amlodipine_8000_C1_tech2_SN_P1_t1.25_POS.d	Amlodipine	80	C1	tech2	SN	P1	t1.25	1207475	area_is_caffeine	188221	44	0.7544240041873327	1.25
MZ006A_Amlodipine_8000_C1_tech1_WC_P1_t1.25_POS.d	Amlodipine	80	C1	tech1	WC	P1	t1.25	1749299	area_is_caffeine	157691	44	1.3045555225320011	1.25
MZ006A_Amlodipine_8000_C1_tech2_WC_P1_t1.25_POS.d	Amlodipine	80	C1	tech2	WC	P1	t1.25	1263049	area_is_caffeine	167644	44	0.8860079357406992	1.25
MZ006A_Amlodipine_8000_C2_tech1_SN_P1_t1.25_POS.d	Amlodipine	80	C2	tech1	SN	P1	t1.25	1515042	area_is_caffeine	175382	44	0.9793967220193303	1.25
MZ006A_Amlodipine_8000_C2_tech2_SN_P2_t1.25_POS.d	Amlodipine	80	C2	tech2	SN	P2	t1.25	1474236	area_is_caffeine	163768	44	1.0206032779806695	1.25
MZ006A_Amlodipine_8000_C2_tech1_WC_P2_t1.25_POS.d	Amlodipine	80	C2	tech1	WC	P2	t1.25	1527678	area_is_caffeine	165031	44	1.0495068682984283	1.25
MZ006A_Amlodipine_8000_C2_tech2_WC_P2_t1.25_POS.d	Amlodipine	80	C2	tech2	WC	P2	t1.25	1305214	area_is_caffeine	151505	44	0.9767282513851171	1.25
MZ006A_Entacapone_8000_C1_tech1_SN_P1_t1.25_POS.d	Entacapone	80	C1	tech1	SN	P1	t1.25	758050	area_is_caffeine	183405	44	0.6620871299464123	1.25
MZ006A_Entacapone_8000_C1_tech2_SN_P1_t1.25_POS.d	Entacapone	80	C1	tech2	SN	P1	t1.25	747947	area_is_caffeine	165929	44	0.7220661629120337	1.25
MZ006A_Entacapone_8000_C1_tech1_WC_P1_t1.25_POS.d	Entacapone	80	C1	tech1	WC	P1	t1.25	937829	area_is_caffeine	175159	44	0.8576689072353657	1.25
MZ006A_Entacapone_8000_C1_tech2_WC_P1_t1.25_POS.d	Entacapone	80	C1	tech2	WC	P1	t1.25	931114	area_is_caffeine	185155	44	0.8055562607135841	1.25
MZ006A_Entacapone_8000_C2_tech1_SN_P1_t1.25_POS.d	Entacapone	80	C2	tech1	SN	P1	t1.25	624359	area_is_caffeine	174523	44	0.6969266711831898	1.25
MZ006A_Entacapone_8000_C2_tech2_SN_P2_t1.25_POS.d	Entacapone	80	C2	tech2	SN	P2	t1.25	674669	area_is_caffeine	165994	44	0.791778571006077	1.25
MZ006A_Entacapone_8000_C2_tech1_WC_P2_t1.25_POS.d	Entacapone	80	C2	tech1	WC	P2	t1.25	643307	area_is_caffeine	164664	44	0.7610706860181151	1.25
MZ006A_Entacapone_8000_C2_tech2_WC_P2_t1.25_POS.d	Entacapone	80	C2	tech2	WC	P2	t1.25	590889	area_is_caffeine	151498	44	0.7598089138484104	1.25
MZ006A_Felodipine_8000_C1_tech1_SN_P1_t1.25_POS.d	Felodipine	80	C1	tech1	SN	P1	t1.25	60525	area_is_caffeine	156935	43	0.7727634176964963	1.25
MZ006A_Felodipine_8000_C1_tech2_SN_P1_t1.25_POS.d	Felodipine	80	C1	tech2	SN	P1	t1.25	57519	area_is_caffeine	167932	43	0.686292787722515	1.25
MZ006A_Felodipine_8000_C1_tech1_WC_P1_t1.25_POS.d	Felodipine	80	C1	tech1	WC	P1	t1.25	117568	area_is_caffeine	168050	43	1.4017874957787397	1.25
MZ006A_Felodipine_8000_C1_tech2_WC_P1_t1.25_POS.d	Felodipine	80	C1	tech2	WC	P1	t1.25	86924	area_is_caffeine	151651	43	1.148486759905618	1.25
MZ006A_Felodipine_8000_C2_tech1_SN_P1_t1.25_POS.d	Felodipine	80	C2	tech1	SN	P1	t1.25	97100	area_is_caffeine	151455	43	0.9766774312306166	1.25
MZ006A_Felodipine_8000_C2_tech2_SN_P2_t1.25_POS.d	Felodipine	80	C2	tech2	SN	P2	t1.25	94806	area_is_caffeine	161696	43	0.8932069314099594	1.25
MZ006A_Felodipine_8000_C2_tech1_WC_P2_t1.25_POS.d	Felodipine	80	C2	tech1	WC	P2	t1.25	109024	area_is_caffeine	155895	43	1.0653822656423648	1.25
MZ006A_Felodipine_8000_C2_tech2_WC_P2_t1.25_POS.d	Felodipine	80	C2	tech2	WC	P2	t1.25	89543	area_is_caffeine	158331	43	0.8615514617696721	1.25
MZ006A_Ketoconazole_8000_C1_tech1_SN_P1_t1.25_POS.d	Ketoconazole	80	C1	tech1	SN	P1	t1.25	1755970	area_is_caffeine	184431	44	0.9478514788627275	1.25
MZ006A_Ketoconazole_8000_C1_tech2_SN_P1_t1.25_POS.d	Ketoconazole	80	C1	tech2	SN	P1	t1.25	1108223	area_is_caffeine	166871	44	0.6611551906438822	1.25
MZ006A_Ketoconazole_8000_C1_tech1_WC_P1_t1.25_POS.d	Ketoconazole	80	C1	tech1	WC	P1	t1.25	2053608	area_is_caffeine	181927	44	1.1237701982248856	1.25
MZ006A_Ketoconazole_8000_C1_tech2_WC_P1_t1.25_POS.d	Ketoconazole	80	C1	tech2	WC	P1	t1.25	1653167	area_is_caffeine	167905	44	0.980189891783344	1.25
MZ006A_Ketoconazole_8000_C2_tech1_SN_P1_t1.25_POS.d	Ketoconazole	80	C2	tech1	SN	P1	t1.25	1835551	area_is_caffeine	160909	44	0.9154945537569235	1.25
MZ006A_Ketoconazole_8000_C2_tech2_SN_P2_t1.25_POS.d	Ketoconazole	80	C2	tech2	SN	P2	t1.25	1505753	area_is_caffeine	156793	44	0.7707201482953626	1.25
MZ006A_Ketoconazole_8000_C2_tech1_WC_P2_t1.25_POS.d	Ketoconazole	80	C2	tech1	WC	P2	t1.25	1885358	area_is_caffeine	157740	44	0.9592275348664855	1.25
