flavor	species	run	tech_repl	hit	category	result	expected	n	n_total	fraction	n_repl
absolute	Bacteroides thetaiotaomicron	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	23	37	0.6216216216216216	6
absolute	Bacteroides thetaiotaomicron	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	49	49	1	6
absolute	Bacteroides thetaiotaomicron	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	13	35	0.37142857142857144	6
absolute	Bacteroides thetaiotaomicron	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	35	0.6285714285714286	6
absolute	Bacteroides thetaiotaomicron	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	49	49	1	6
absolute	Bacteroides thetaiotaomicron	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	15	38	0.39473684210526316	6
absolute	Bacteroides thetaiotaomicron	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	23	38	0.6052631578947368	6
absolute	Bacteroides thetaiotaomicron	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	49	49	1	6
absolute	Bacteroides thetaiotaomicron	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	16	38	0.42105263157894735	6
absolute	Bacteroides thetaiotaomicron	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	38	0.5789473684210527	6
absolute	Bacteroides thetaiotaomicron	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	48	48	1	6
absolute	Bacteroides thetaiotaomicron	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	16	38	0.42105263157894735	6
absolute	Bacteroides thetaiotaomicron	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	38	0.5789473684210527	6
absolute	Bacteroides thetaiotaomicron	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	47	47	1	6
absolute	Bacteroides thetaiotaomicron	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	16	38	0.42105263157894735	6
absolute	Bacteroides thetaiotaomicron	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	38	0.5789473684210527	6
absolute	Bacteroides uniformis	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	36	40	0.9	6
absolute	Bacteroides uniformis	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	40	0.1	6
absolute	Bacteroides uniformis	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	26	46	0.5652173913043478	6
absolute	Bacteroides uniformis	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	20	46	0.43478260869565216	6
absolute	Bacteroides uniformis	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	36	40	0.9	6
absolute	Bacteroides uniformis	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	40	0.1	6
absolute	Bacteroides uniformis	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	25	44	0.5681818181818182	6
absolute	Bacteroides uniformis	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	19	44	0.4318181818181818	6
absolute	Bacteroides uniformis	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	39	40	0.975	6
absolute	Bacteroides uniformis	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	40	0.025	6
absolute	Bacteroides uniformis	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	25	47	0.5319148936170213	6
absolute	Bacteroides uniformis	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	47	0.46808510638297873	6
absolute	Bacteroides uniformis	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	38	40	0.95	6
absolute	Bacteroides uniformis	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	40	0.05	6
absolute	Bacteroides uniformis	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	24	47	0.5106382978723404	6
absolute	Bacteroides uniformis	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	23	47	0.48936170212765956	6
absolute	Bacteroides uniformis	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	36	39	0.9230769230769231	6
absolute	Bacteroides uniformis	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	39	0.07692307692307693	6
absolute	Bacteroides uniformis	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	24	47	0.5106382978723404	6
absolute	Bacteroides uniformis	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	23	47	0.48936170212765956	6
absolute	Bacteroides uniformis	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	35	39	0.8974358974358975	6
absolute	Bacteroides uniformis	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	39	0.10256410256410256	6
absolute	Bacteroides uniformis	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	24	46	0.5217391304347826	6
absolute	Bacteroides uniformis	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	46	0.4782608695652174	6
absolute	Clostridium perfringens	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	40	42	0.9523809523809523	6
absolute	Clostridium perfringens	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	42	0.047619047619047616	6
absolute	Clostridium perfringens	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	26	44	0.5909090909090909	6
absolute	Clostridium perfringens	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	18	44	0.4090909090909091	6
absolute	Clostridium perfringens	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	40	42	0.9523809523809523	6
absolute	Clostridium perfringens	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	42	0.047619047619047616	6
absolute	Clostridium perfringens	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	26	42	0.6190476190476191	6
absolute	Clostridium perfringens	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	16	42	0.38095238095238093	6
absolute	Clostridium perfringens	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	39	42	0.9285714285714286	6
absolute	Clostridium perfringens	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	42	0.07142857142857142	6
absolute	Clostridium perfringens	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	29	45	0.6444444444444445	6
absolute	Clostridium perfringens	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	16	45	0.35555555555555557	6
absolute	Clostridium perfringens	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	38	42	0.9047619047619048	6
absolute	Clostridium perfringens	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	42	0.09523809523809523	6
absolute	Clostridium perfringens	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	28	45	0.6222222222222222	6
absolute	Clostridium perfringens	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	17	45	0.37777777777777777	6
absolute	Clostridium perfringens	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	39	41	0.9512195121951219	6
absolute	Clostridium perfringens	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	41	0.04878048780487805	6
absolute	Clostridium perfringens	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	30	45	0.6666666666666666	6
absolute	Clostridium perfringens	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	15	45	0.3333333333333333	6
absolute	Clostridium perfringens	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	37	41	0.9024390243902439	6
absolute	Clostridium perfringens	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	41	0.0975609756097561	6
absolute	Clostridium perfringens	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	27	44	0.6136363636363636	6
absolute	Clostridium perfringens	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	17	44	0.38636363636363635	6
absolute	Collinsella aerofaciens	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	42	49	0.8571428571428571	6
absolute	Collinsella aerofaciens	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	7	49	0.14285714285714285	6
absolute	Collinsella aerofaciens	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	20	37	0.5405405405405406	6
absolute	Collinsella aerofaciens	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	17	37	0.4594594594594595	6
absolute	Collinsella aerofaciens	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	40	49	0.8163265306122449	6
absolute	Collinsella aerofaciens	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	9	49	0.1836734693877551	6
absolute	Collinsella aerofaciens	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	19	35	0.5428571428571428	6
absolute	Collinsella aerofaciens	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	16	35	0.45714285714285713	6
absolute	Collinsella aerofaciens	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	46	49	0.9387755102040817	6
absolute	Collinsella aerofaciens	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	49	0.061224489795918366	6
absolute	Collinsella aerofaciens	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	19	38	0.5	6
absolute	Collinsella aerofaciens	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	19	38	0.5	6
absolute	Collinsella aerofaciens	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	46	49	0.9387755102040817	6
absolute	Collinsella aerofaciens	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	49	0.061224489795918366	6
absolute	Collinsella aerofaciens	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	20	38	0.5263157894736842	6
absolute	Collinsella aerofaciens	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	18	38	0.47368421052631576	6
absolute	Collinsella aerofaciens	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	40	48	0.8333333333333334	6
absolute	Collinsella aerofaciens	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	8	48	0.16666666666666666	6
absolute	Collinsella aerofaciens	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	23	38	0.6052631578947368	6
absolute	Collinsella aerofaciens	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	15	38	0.39473684210526316	6
absolute	Collinsella aerofaciens	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	39	47	0.8297872340425532	6
absolute	Collinsella aerofaciens	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	8	47	0.1702127659574468	6
absolute	Collinsella aerofaciens	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	26	38	0.6842105263157895	6
absolute	Collinsella aerofaciens	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	38	0.3157894736842105	6
absolute	Coprococcus comes	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	40	41	0.975609756097561	6
absolute	Coprococcus comes	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	1	41	0.024390243902439025	6
absolute	Coprococcus comes	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	24	45	0.5333333333333333	6
absolute	Coprococcus comes	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	21	45	0.4666666666666667	6
absolute	Coprococcus comes	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	38	41	0.926829268292683	6
absolute	Coprococcus comes	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	41	0.07317073170731707	6
absolute	Coprococcus comes	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	25	43	0.5813953488372093	6
absolute	Coprococcus comes	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	18	43	0.4186046511627907	6
absolute	Coprococcus comes	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	39	41	0.9512195121951219	6
absolute	Coprococcus comes	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	2	41	0.04878048780487805	6
absolute	Coprococcus comes	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	24	46	0.5217391304347826	6
absolute	Coprococcus comes	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	46	0.4782608695652174	6
absolute	Coprococcus comes	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	37	41	0.9024390243902439	6
absolute	Coprococcus comes	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	41	0.0975609756097561	6
absolute	Coprococcus comes	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	25	46	0.5434782608695652	6
absolute	Coprococcus comes	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	21	46	0.45652173913043476	6
absolute	Coprococcus comes	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	37	40	0.925	6
absolute	Coprococcus comes	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	40	0.075	6
absolute	Coprococcus comes	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	30	46	0.6521739130434783	6
absolute	Coprococcus comes	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	16	46	0.34782608695652173	6
absolute	Coprococcus comes	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	37	40	0.925	6
absolute	Coprococcus comes	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	3	40	0.075	6
absolute	Coprococcus comes	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	27	45	0.6	6
absolute	Coprococcus comes	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	18	45	0.4	6
absolute	Dorea formicigenerans	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	30	36	0.8333333333333334	6
absolute	Dorea formicigenerans	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	6	36	0.16666666666666666	6
absolute	Dorea formicigenerans	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	28	50	0.56	6
absolute	Dorea formicigenerans	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	22	50	0.44	6
absolute	Dorea formicigenerans	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	32	36	0.8888888888888888	6
absolute	Dorea formicigenerans	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	36	0.1111111111111111	6
absolute	Dorea formicigenerans	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	27	48	0.5625	6
absolute	Dorea formicigenerans	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	21	48	0.4375	6
absolute	Dorea formicigenerans	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	25	36	0.6944444444444444	6
absolute	Dorea formicigenerans	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	11	36	0.3055555555555556	6
absolute	Dorea formicigenerans	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	31	51	0.6078431372549019	6
absolute	Dorea formicigenerans	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	20	51	0.39215686274509803	6
absolute	Dorea formicigenerans	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	32	36	0.8888888888888888	6
absolute	Dorea formicigenerans	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	36	0.1111111111111111	6
absolute	Dorea formicigenerans	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	30	51	0.5882352941176471	6
absolute	Dorea formicigenerans	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	21	51	0.4117647058823529	6
absolute	Dorea formicigenerans	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	31	35	0.8857142857142857	6
absolute	Dorea formicigenerans	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	35	0.11428571428571428	6
absolute	Dorea formicigenerans	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	23	51	0.45098039215686275	6
absolute	Dorea formicigenerans	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	28	51	0.5490196078431373	6
absolute	Dorea formicigenerans	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	31	35	0.8857142857142857	6
absolute	Dorea formicigenerans	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	4	35	0.11428571428571428	6
absolute	Dorea formicigenerans	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	24	50	0.48	6
absolute	Dorea formicigenerans	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	26	50	0.52	6
absolute	Eggerthella lenta	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	50	58	0.8620689655172413	6
absolute	Eggerthella lenta	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	8	58	0.13793103448275862	6
absolute	Eggerthella lenta	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	14	27	0.5185185185185185	6
absolute	Eggerthella lenta	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	13	27	0.48148148148148145	6
absolute	Eggerthella lenta	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	48	58	0.8275862068965517	6
absolute	Eggerthella lenta	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	10	58	0.1724137931034483	6
absolute	Eggerthella lenta	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	13	25	0.52	6
absolute	Eggerthella lenta	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	12	25	0.48	6
absolute	Eggerthella lenta	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	50	58	0.8620689655172413	6
absolute	Eggerthella lenta	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	8	58	0.13793103448275862	6
absolute	Eggerthella lenta	LM1847	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	13	28	0.4642857142857143	6
absolute	Eggerthella lenta	LM1847	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	15	28	0.5357142857142857	6
absolute	Eggerthella lenta	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	50	58	0.8620689655172413	6
absolute	Eggerthella lenta	LM1847	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	8	58	0.13793103448275862	6
absolute	Eggerthella lenta	LM1847	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	13	28	0.4642857142857143	6
absolute	Eggerthella lenta	LM1847	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	15	28	0.5357142857142857	6
absolute	Eggerthella lenta	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	36	57	0.631578947368421	6
absolute	Eggerthella lenta	LM1857	1	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	21	57	0.3684210526315789	6
absolute	Eggerthella lenta	LM1857	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	21	28	0.75	6
absolute	Eggerthella lenta	LM1857	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	7	28	0.25	6
absolute	Eggerthella lenta	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	38	56	0.6785714285714286	6
absolute	Eggerthella lenta	LM1857	2	FALSE	sensitization (fraction of single-species non-hits)	sensitized in community	FALSE	18	56	0.32142857142857145	6
absolute	Eggerthella lenta	LM1857	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	18	28	0.6428571428571429	6
absolute	Eggerthella lenta	LM1857	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	10	28	0.35714285714285715	6
absolute	Enterocloster bolteae	LM1844	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	53	53	1	6
absolute	Enterocloster bolteae	LM1844	1	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	6	33	0.18181818181818182	6
absolute	Enterocloster bolteae	LM1844	1	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	27	33	0.8181818181818182	6
absolute	Enterocloster bolteae	LM1844	2	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	53	53	1	6
absolute	Enterocloster bolteae	LM1844	2	TRUE	protection (fraction of single-species hits)	expected (reduced growth in both cases)	TRUE	6	31	0.1935483870967742	6
absolute	Enterocloster bolteae	LM1844	2	TRUE	protection (fraction of single-species hits)	protected in community	FALSE	25	31	0.8064516129032258	6
absolute	Enterocloster bolteae	LM1847	1	FALSE	sensitization (fraction of single-species non-hits)	expected (normal growth in both cases)	TRUE	53	53	1	6
